species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Mediorhynchus empodius;Acanthocephala;Archiacanthocephala;Gigantorhynchida;Gigantorhynchidae;FE;;;;ITIS;gap;
Mediorhynchus micracanthus;Acanthocephala;Archiacanthocephala;Gigantorhynchida;Gigantorhynchidae;FE;;;;ITIS;gap;
Mediorhynchus murtensis;Acanthocephala;Archiacanthocephala;Gigantorhynchida;Gigantorhynchidae;FE;;;;ITIS;gap;
Mediorhynchus otidis;Acanthocephala;Archiacanthocephala;Gigantorhynchida;Gigantorhynchidae;FE;;;;ITIS;gap;
Mediorhynchus papillosus;Acanthocephala;Archiacanthocephala;Gigantorhynchida;Gigantorhynchidae;FE;;;;ITIS;gap;
Mediorhynchus petrotschenkoi;Acanthocephala;Archiacanthocephala;Gigantorhynchida;Gigantorhynchidae;FE;;;;;gap;
Mediorhynchus robustus;Acanthocephala;Archiacanthocephala;Gigantorhynchida;Gigantorhynchidae;FE;;;;ITIS;gap;
Mediorhynchus rodensis;Acanthocephala;Archiacanthocephala;Gigantorhynchida;Gigantorhynchidae;FE;;;;;gap;
Mediorhynchus teniatus;Acanthocephala;Archiacanthocephala;Gigantorhynchida;Gigantorhynchidae;FE;;;;FE;gap;
Mediorhynchus tenuis;Acanthocephala;Archiacanthocephala;Gigantorhynchida;Gigantorhynchidae;FE;;;;;gap;
Mediorhynchus vancleavei;Acanthocephala;Archiacanthocephala;Gigantorhynchida;Gigantorhynchidae;FE;;;;ITIS;gap;
Mediorhynchus zosteropis;Acanthocephala;Archiacanthocephala;Gigantorhynchida;Gigantorhynchidae;FE;;;;ITIS;gap;
