species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Castianeira badia;Arthropoda;Arachnida;Araneae;Corinnidae;BOLD,FE;0;1;0;FE;gap;748838
Creugas gulosus;Arthropoda;Arachnida;Araneae;Corinnidae;FE;;;;FE;gap;
Phrurolithus corsicus;Arthropoda;Arachnida;Araneae;Corinnidae;FE;;;;FE;gap;
Phrurolithus florentinus;Arthropoda;Arachnida;Araneae;Corinnidae;FE;;;;;gap;
Phrurolithus pygmaeus;Arthropoda;Arachnida;Araneae;Corinnidae;FE;;;;;gap;
Phrurolithus rufescens;Arthropoda;Arachnida;Araneae;Corinnidae;FE;;;;;gap;
Trachelas canariensis;Arthropoda;Arachnida;Araneae;Corinnidae;FE;2;2;1;;;847657
Trachelas ibericus;Arthropoda;Arachnida;Araneae;Corinnidae;FE;;;;;gap;
Trachelas macrochelis;Arthropoda;Arachnida;Araneae;Corinnidae;FE;;;;;gap;
Trachelas maculatus;Arthropoda;Arachnida;Araneae;Corinnidae;FE;;;;FE;gap;
Trachelas purus;Arthropoda;Arachnida;Araneae;Corinnidae;FE;;;;;gap;
Trachelas rayi;Arthropoda;Arachnida;Araneae;Corinnidae;FE;;;;;gap;
Trachelas uniaculeatus;Arthropoda;Arachnida;Araneae;Corinnidae;FE;;;;;gap;
Trachelas validus;Arthropoda;Arachnida;Araneae;Corinnidae;FE;;;;;gap;
