species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Gamasellus alpinus;Arthropoda;Arachnida;Mesostigmata;Ologamasidae;FE;;;;;gap;
Gamasellus bisetus;Arthropoda;Arachnida;Mesostigmata;Ologamasidae;FE;;;;FE;gap;
Gamasellus falciger;Arthropoda;Arachnida;Mesostigmata;Ologamasidae;FE;;;;FE;gap;
Gamasellus iphidiformis;Arthropoda;Arachnida;Mesostigmata;Ologamasidae;FE;;;;FE;gap;
Gamasellus montanus;Arthropoda;Arachnida;Mesostigmata;Ologamasidae;FE;;;;FE;gap;
Gamasellus nepotulus;Arthropoda;Arachnida;Mesostigmata;Ologamasidae;FE;;;;;gap;
Gamasellus nivalis;Arthropoda;Arachnida;Mesostigmata;Ologamasidae;FE;;;;;gap;
Gamasellus quadripilus;Arthropoda;Arachnida;Mesostigmata;Ologamasidae;FE;;;;;gap;
Gamasellus robustipes;Arthropoda;Arachnida;Mesostigmata;Ologamasidae;FE;;;;;gap;
Gamasellus spiricornis;Arthropoda;Arachnida;Mesostigmata;Ologamasidae;FE;;;;FE;gap;
Gamasellus vibrissatus;Arthropoda;Arachnida;Mesostigmata;Ologamasidae;FE;;;;;gap;
Gamasiphis pulchellus;Arthropoda;Arachnida;Mesostigmata;Ologamasidae;FE;;;;FE;gap;
Gamasiphis sextus;Arthropoda;Arachnida;Mesostigmata;Ologamasidae;BOLD;4;4;1;;;1133301
Hydrogamasus giardi;Arthropoda;Arachnida;Mesostigmata;Ologamasidae;FE;;;;FE;gap;
Hydrogamasus littoralis;Arthropoda;Arachnida;Mesostigmata;Ologamasidae;FE;;;;FE;gap;
Hydrogamasus salinus;Arthropoda;Arachnida;Mesostigmata;Ologamasidae;FE;;;;FE;gap;
Sessiluncus cavensis;Arthropoda;Arachnida;Mesostigmata;Ologamasidae;FE;;;;;gap;
Sessiluncus colchicus;Arthropoda;Arachnida;Mesostigmata;Ologamasidae;FE;;;;;gap;
Sessiluncus holostaspoides;Arthropoda;Arachnida;Mesostigmata;Ologamasidae;FE;;;;;gap;
Sessiluncus hungaricus;Arthropoda;Arachnida;Mesostigmata;Ologamasidae;FE;;;;;gap;
Stylochirus ampulliger;Arthropoda;Arachnida;Mesostigmata;Ologamasidae;FE;;;;FE;gap;
Stylochirus caucasicus;Arthropoda;Arachnida;Mesostigmata;Ologamasidae;FE;;;;;gap;
Stylochirus giganteus;Arthropoda;Arachnida;Mesostigmata;Ologamasidae;FE;;;;;gap;
Stylochirus minor;Arthropoda;Arachnida;Mesostigmata;Ologamasidae;FE;;;;;gap;
Stylochirus rovennensis;Arthropoda;Arachnida;Mesostigmata;Ologamasidae;FE;;;;;gap;
