species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Nenteria breviunguiculata;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;FE;gap;
Nenteria eulaelaptis;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;1;1;1;FE;;389324
Nenteria floralis;Arthropoda;Arachnida;Mesostigmata;Trematuridae;BOLD,FE;1;5;0;;;754502
Nenteria hexalis;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;;gap;
Nenteria hirschmanni;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;;gap;
Nenteria norimbergensis;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;;gap;
Nenteria oudemansi;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;;gap;
Nenteria pallida;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;FE;gap;
Nenteria pilosella;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;FE;gap;
Nenteria postneri;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;;gap;
Nenteria ritzemai;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;FE;gap;
Nenteria stammeri;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;;gap;
Nenteria stylifera;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;FE;gap;
Trichouropoda barbatula;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;FE;gap;
Trichouropoda beckwithi;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;;gap;
Trichouropoda bipilis;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;0;1;0;FE;gap;389308
Trichouropoda calcarata;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;;gap;
Trichouropoda campomolendina;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;FE;gap;
Trichouropoda cornuimbergerensis;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;;gap;
Trichouropoda dalarnaensis;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;;gap;
Trichouropoda dialveolata;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;;gap;
Trichouropoda elegans;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;FE;gap;
Trichouropoda granulata;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;;gap;
Trichouropoda hispanica;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;;gap;
Trichouropoda interstructura;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;;gap;
Trichouropoda karawaievi;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;FE;gap;
Trichouropoda kielczewskii;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;;gap;
Trichouropoda latina;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;FE;gap;
Trichouropoda levisetosa;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;FE;gap;
Trichouropoda livorniana;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;;gap;
Trichouropoda longiovalis;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;;gap;
Trichouropoda norimbergensis;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;;gap;
Trichouropoda obscura;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;FE;gap;
Trichouropoda obscurasimilis;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;;gap;
Trichouropoda orbicularis;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;4;4;1;FE;;779854
Trichouropoda ovalis;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;4;4;1;FE;;779860
Trichouropoda patavina;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;FE;gap;
Trichouropoda pecinai;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;;gap;
Trichouropoda pecinaituberosa;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;;gap;
Trichouropoda penicillata;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;;gap;
Trichouropoda polyctenaphila;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;;gap;
Trichouropoda polytricha;Arthropoda;Arachnida;Mesostigmata;Trematuridae;BOLD,FE;4;11;2;FE;;389315
Trichouropoda posnaniensis;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;;gap;
Trichouropoda punctasimilis;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;;gap;
Trichouropoda punctata;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;;gap;
Trichouropoda querceti;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;;gap;
Trichouropoda rafalskii;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;;gap;
Trichouropoda sardensis;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;;gap;
Trichouropoda schreiberi;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;;gap;
Trichouropoda schweizeri;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;;gap;
Trichouropoda serrata;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;;gap;
Trichouropoda shcherbakae;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;;gap;
Trichouropoda sociata;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;FE;gap;
Trichouropoda spatulifera;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;FE;gap;
Trichouropoda stammerisimilis;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;;gap;
Trichouropoda structura;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;;gap;
Trichouropoda swietokrzyskii;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;;gap;
Trichouropoda tuberosa;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;;gap;
Trichouropoda tuberosasimilis;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;;gap;
Trichouropoda vitzthumilongiseta;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;;gap;
Trichouropoda wisniewskii;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;;gap;
Trichouropoda zocchii;Arthropoda;Arachnida;Mesostigmata;Trematuridae;FE;;;;FE;gap;
