species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Cyrthydrolaelaps hirtus;Arthropoda;Arachnida;Mesostigmata;Veigaiidae;FE;;;;;gap;
Cyrthydrolaelaps incisus;Arthropoda;Arachnida;Mesostigmata;Veigaiidae;FE;;;;;gap;
Cyrthydrolaelaps schusteri;Arthropoda;Arachnida;Mesostigmata;Veigaiidae;FE;;;;;gap;
Gamasolaelaps aurantiacus;Arthropoda;Arachnida;Mesostigmata;Veigaiidae;FE;;;;FE;gap;
Gamasolaelaps excisus;Arthropoda;Arachnida;Mesostigmata;Veigaiidae;FE;;;;FE;gap;
Gamasolaelaps multidentatus;Arthropoda;Arachnida;Mesostigmata;Veigaiidae;FE;;;;;gap;
Gamasolaelaps pygmaeus;Arthropoda;Arachnida;Mesostigmata;Veigaiidae;FE;;;;;gap;
Gamasolaelaps tuberculatus;Arthropoda;Arachnida;Mesostigmata;Veigaiidae;FE;;;;;gap;
Veigaia agilis;Arthropoda;Arachnida;Mesostigmata;Veigaiidae;FE;;;;FE;gap;
Veigaia bouvieri;Arthropoda;Arachnida;Mesostigmata;Veigaiidae;FE;;;;FE;gap;
Veigaia cerva;Arthropoda;Arachnida;Mesostigmata;Veigaiidae;BOLD,FE;1;3;0;FE;;754148
Veigaia exigua;Arthropoda;Arachnida;Mesostigmata;Veigaiidae;FE;;;;FE;gap;
Veigaia extremiorientis;Arthropoda;Arachnida;Mesostigmata;Veigaiidae;FE;;;;;gap;
Veigaia grandiuscula;Arthropoda;Arachnida;Mesostigmata;Veigaiidae;FE;;;;;gap;
Veigaia humilis;Arthropoda;Arachnida;Mesostigmata;Veigaiidae;FE;;;;FE;gap;
Veigaia igolkini;Arthropoda;Arachnida;Mesostigmata;Veigaiidae;FE;;;;;gap;
Veigaia inexpectata;Arthropoda;Arachnida;Mesostigmata;Veigaiidae;FE;;;;;gap;
Veigaia kochi;Arthropoda;Arachnida;Mesostigmata;Veigaiidae;BOLD,FE;33;48;3;FE;;754147
Veigaia leruthi;Arthropoda;Arachnida;Mesostigmata;Veigaiidae;FE;;;;;gap;
Veigaia mirabilis;Arthropoda;Arachnida;Mesostigmata;Veigaiidae;FE;;;;;gap;
Veigaia mollis;Arthropoda;Arachnida;Mesostigmata;Veigaiidae;FE;;;;;gap;
Veigaia nemorensis;Arthropoda;Arachnida;Mesostigmata;Veigaiidae;BOLD,FE;53;73;2;FE;;645567
Veigaia paradoxa;Arthropoda;Arachnida;Mesostigmata;Veigaiidae;FE;;;;;gap;
Veigaia planicola;Arthropoda;Arachnida;Mesostigmata;Veigaiidae;FE;;;;FE;gap;
Veigaia propinqua;Arthropoda;Arachnida;Mesostigmata;Veigaiidae;FE;;;;;gap;
Veigaia serrata;Arthropoda;Arachnida;Mesostigmata;Veigaiidae;FE;;;;;gap;
Veigaia sibirica;Arthropoda;Arachnida;Mesostigmata;Veigaiidae;FE;;;;;gap;
Veigaia slonovi;Arthropoda;Arachnida;Mesostigmata;Veigaiidae;FE;;;;;gap;
Veigaia transisalae;Arthropoda;Arachnida;Mesostigmata;Veigaiidae;BOLD,FE;2;9;0;FE;;754158
Veigaia uncata;Arthropoda;Arachnida;Mesostigmata;Veigaiidae;FE;;;;;gap;
