species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Ausobskya athos;Arthropoda;Arachnida;Opiliones;Phalangodidae;FE;;;;;gap;
Ausobskya brevipes;Arthropoda;Arachnida;Opiliones;Phalangodidae;FE;;;;;gap;
Ausobskya hauseri;Arthropoda;Arachnida;Opiliones;Phalangodidae;FE;;;;;gap;
Ausobskya mahnerti;Arthropoda;Arachnida;Opiliones;Phalangodidae;FE;;;;;gap;
Lola insularis;Arthropoda;Arachnida;Opiliones;Phalangodidae;FE;;;;;gap;
Maiorerus randoi;Arthropoda;Arachnida;Opiliones;Phalangodidae;FE;;;;;gap;
Paralola buresi;Arthropoda;Arachnida;Opiliones;Phalangodidae;FE;;;;;gap;
Ptychosoma catalonicum;Arthropoda;Arachnida;Opiliones;Phalangodidae;FE;;;;;gap;
Ptychosoma vitellinum;Arthropoda;Arachnida;Opiliones;Phalangodidae;FE;;;;;gap;
Scotolemon balearicus;Arthropoda;Arachnida;Opiliones;Phalangodidae;FE;;;;;gap;
Scotolemon catalonicum;Arthropoda;Arachnida;Opiliones;Phalangodidae;FE;;;;;gap;
Scotolemon doriae;Arthropoda;Arachnida;Opiliones;Phalangodidae;BOLD,FE;6;11;0;;;952130
Scotolemon espanoli;Arthropoda;Arachnida;Opiliones;Phalangodidae;FE;;;;;gap;
Scotolemon krausi;Arthropoda;Arachnida;Opiliones;Phalangodidae;FE;;;;;gap;
Scotolemon lespesi;Arthropoda;Arachnida;Opiliones;Phalangodidae;BOLD;;;;;gap;304412
Scotolemon lespesii;Arthropoda;Arachnida;Opiliones;Phalangodidae;FE;;;;;gap;
Scotolemon lucasi;Arthropoda;Arachnida;Opiliones;Phalangodidae;FE;;;;;gap;
Scotolemon reclinatus;Arthropoda;Arachnida;Opiliones;Phalangodidae;FE;;;;;gap;
Scotolemon terricola;Arthropoda;Arachnida;Opiliones;Phalangodidae;BOLD,FE;2;2;0;;;1081233
