species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Allobelba aculeata;Arthropoda;Arachnida;;Belbidae;FE;;;;ITIS;gap;
Allobelba elisabethae;Arthropoda;Arachnida;;Belbidae;FE;;;;ITIS;gap;
Allobelba janae;Arthropoda;Arachnida;;Belbidae;FE;;;;ITIS;gap;
Allobelba kosarovi;Arthropoda;Arachnida;;Belbidae;FE;;;;ITIS;gap;
Allobelba soror;Arthropoda;Arachnida;;Belbidae;FE;;;;ITIS;gap;
Belba aberrans;Arthropoda;Arachnida;;Belbidae;FE;;;;;gap;
Belba aegrota;Arthropoda;Arachnida;;Belbidae;FE;;;;FE;gap;
Belba bartosi;Arthropoda;Arachnida;;Belbidae;FE;;;;;gap;
Belba clavigera;Arthropoda;Arachnida;;Belbidae;FE;;;;;gap;
Belba corynopus;Arthropoda;Arachnida;;Belbidae;FE;;;;FE;gap;
Belba diversipilis;Arthropoda;Arachnida;;Belbidae;FE;;;;;gap;
Belba gibba;Arthropoda;Arachnida;;Belbidae;FE;;;;;gap;
Belba globiceps;Arthropoda;Arachnida;;Belbidae;FE;;;;FE;gap;
Belba globipes;Arthropoda;Arachnida;;Belbidae;FE;;;;;gap;
Belba granulata;Arthropoda;Arachnida;;Belbidae;FE;;;;;gap;
Belba gratiosa;Arthropoda;Arachnida;;Belbidae;FE;;;;;gap;
Belba ignota;Arthropoda;Arachnida;;Belbidae;FE;;;;;gap;
Belba lengensdorfi;Arthropoda;Arachnida;;Belbidae;FE;;;;;gap;
Belba longipes;Arthropoda;Arachnida;;Belbidae;FE;;;;;gap;
Belba longisetosa;Arthropoda;Arachnida;;Belbidae;FE;;;;;gap;
Belba minor;Arthropoda;Arachnida;;Belbidae;FE;;;;;gap;
Belba mirabilis;Arthropoda;Arachnida;;Belbidae;FE;;;;;gap;
Belba moraviae;Arthropoda;Arachnida;;Belbidae;FE;;;;;gap;
Belba obscura;Arthropoda;Arachnida;;Belbidae;FE;;;;;gap;
Belba pachytrichosa;Arthropoda;Arachnida;;Belbidae;FE;;;;;gap;
Belba paracorynopus;Arthropoda;Arachnida;;Belbidae;FE;;;;;gap;
Belba patelloides;Arthropoda;Arachnida;;Belbidae;FE;;;;FE;gap;
Belba piriformis;Arthropoda;Arachnida;;Belbidae;FE;;;;;gap;
Belba pseudocorynopus;Arthropoda;Arachnida;;Belbidae;FE;;;;;gap;
Belba pulchra;Arthropoda;Arachnida;;Belbidae;FE;;;;;gap;
Belba sculpta;Arthropoda;Arachnida;;Belbidae;FE;;;;;gap;
Belba serradeii;Arthropoda;Arachnida;;Belbidae;FE;;;;;gap;
Belba verrucosa;Arthropoda;Arachnida;;Belbidae;FE;;;;;gap;
Damaeus alpinus;Arthropoda;Arachnida;;Belbidae;FE;;;;ITIS;gap;
Damaeus helveticus;Arthropoda;Arachnida;;Belbidae;FE;;;;ITIS;gap;
Eubelba bulanovae;Arthropoda;Arachnida;;Belbidae;FE;;;;ITIS;gap;
Eubelba dubinini;Arthropoda;Arachnida;;Belbidae;FE;;;;ITIS;gap;
Eubelba limasetosa;Arthropoda;Arachnida;;Belbidae;FE;;;;ITIS;gap;
Metabelba cremersi;Arthropoda;Arachnida;;Belbidae;FE;;;;;gap;
Metabelba ericius;Arthropoda;Arachnida;;Belbidae;FE;;;;;gap;
Metabelba flagelliseta;Arthropoda;Arachnida;;Belbidae;FE;;;;;gap;
Metabelba lanceolata;Arthropoda;Arachnida;;Belbidae;FE;;;;;gap;
Metabelba machadoi;Arthropoda;Arachnida;;Belbidae;FE;;;;;gap;
Metabelba parapulverosa;Arthropoda;Arachnida;;Belbidae;FE;;;;;gap;
Metabelba platynota;Arthropoda;Arachnida;;Belbidae;FE;;;;ITIS;gap;
Metabelba propexa;Arthropoda;Arachnida;;Belbidae;FE;;;;FE;gap;
Metabelba pulverulenta;Arthropoda;Arachnida;;Belbidae;FE;;;;FE;gap;
Metabelba rara;Arthropoda;Arachnida;;Belbidae;FE;;;;;gap;
Metabelba rhodendorfi;Arthropoda;Arachnida;;Belbidae;FE;;;;;gap;
Metabelba rhodopeia;Arthropoda;Arachnida;;Belbidae;FE;;;;;gap;
Metabelba rohdendorfi;Arthropoda;Arachnida;;Belbidae;FE;;;;;gap;
Metabelba romandiolae;Arthropoda;Arachnida;;Belbidae;FE;;;;FE;gap;
Metabelba singularis;Arthropoda;Arachnida;;Belbidae;FE;;;;;gap;
Metabelba sphagni;Arthropoda;Arachnida;;Belbidae;FE;;;;;gap;
Metabelbella macrochaeta;Arthropoda;Arachnida;;Belbidae;FE;;;;;gap;
Metabelbella trichonravovi;Arthropoda;Arachnida;;Belbidae;FE;;;;;gap;
Parametabelba gladiator;Arthropoda;Arachnida;;Belbidae;FE;;;;;gap;
Subbelba elisae;Arthropoda;Arachnida;;Belbidae;FE;;;;;gap;
Subbelba montana;Arthropoda;Arachnida;;Belbidae;FE;;;;ITIS;gap;
Subbelba partiocrispa;Arthropoda;Arachnida;;Belbidae;FE;;;;FE;gap;
Tokukobelba sellnicki;Arthropoda;Arachnida;;Belbidae;FE;;;;ITIS;gap;
