species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Acroperus elongatus;Arthropoda;Branchiopoda;Anomopoda;Eurycercidae;FE;;;;FE;gap;
Acroperus neglectus;Arthropoda;Branchiopoda;Anomopoda;Eurycercidae;FE;;;;;gap;
Alona azorica;Arthropoda;Branchiopoda;Anomopoda;Eurycercidae;FE;;;;;gap;
Alona bessei;Arthropoda;Branchiopoda;Anomopoda;Eurycercidae;FE;;;;;gap;
Alona davidi;Arthropoda;Branchiopoda;Anomopoda;Eurycercidae;FE;;;;;gap;
Alona diaphana;Arthropoda;Branchiopoda;Anomopoda;Eurycercidae;FE;;;;;gap;
Alona hercegovinae;Arthropoda;Branchiopoda;Anomopoda;Eurycercidae;FE;;;;;gap;
Alona iberica;Arthropoda;Branchiopoda;Anomopoda;Eurycercidae;FE;;;;;gap;
Alona karelica;Arthropoda;Branchiopoda;Anomopoda;Eurycercidae;FE;;;;;gap;
Alona lineata;Arthropoda;Branchiopoda;Anomopoda;Eurycercidae;FE;;;;;gap;
Alona nuragica;Arthropoda;Branchiopoda;Anomopoda;Eurycercidae;FE;;;;;gap;
Alona orellanai;Arthropoda;Branchiopoda;Anomopoda;Eurycercidae;FE;;;;;gap;
Alona phreatica;Arthropoda;Branchiopoda;Anomopoda;Eurycercidae;FE;;;;;gap;
Alona protzi;Arthropoda;Branchiopoda;Anomopoda;Eurycercidae;FE;;;;;gap;
Alona quadrangularis;Arthropoda;Branchiopoda;Anomopoda;Eurycercidae;FE;;;;WORMS;gap;
Alona salina;Arthropoda;Branchiopoda;Anomopoda;Eurycercidae;FE;;;;;gap;
Alona sketi;Arthropoda;Branchiopoda;Anomopoda;Eurycercidae;FE;;;;;gap;
Alona smirnovi;Arthropoda;Branchiopoda;Anomopoda;Eurycercidae;FE;;;;;gap;
Alona stochi;Arthropoda;Branchiopoda;Anomopoda;Eurycercidae;FE;;;;;gap;
Alona verrucosa;Arthropoda;Branchiopoda;Anomopoda;Eurycercidae;FE;;;;;gap;
Alona weltneri;Arthropoda;Branchiopoda;Anomopoda;Eurycercidae;FE;;;;;gap;
Alonopsis elegans;Arthropoda;Branchiopoda;Anomopoda;Eurycercidae;FE;;;;FE;gap;
Anchistropus minor;Arthropoda;Branchiopoda;Anomopoda;Eurycercidae;FE;;;;;gap;
Camptocercus biserratus;Arthropoda;Branchiopoda;Anomopoda;Eurycercidae;FE;;;;;gap;
Camptocercus fennicus;Arthropoda;Branchiopoda;Anomopoda;Eurycercidae;FE;;;;;gap;
Camptocercus lilljeborgi;Arthropoda;Branchiopoda;Anomopoda;Eurycercidae;FE;;;;;gap;
Camptocercus macrourus;Arthropoda;Branchiopoda;Anomopoda;Eurycercidae;FE;;;;FE;gap;
Camptocercus uncinatus;Arthropoda;Branchiopoda;Anomopoda;Eurycercidae;FE;;;;;gap;
Chydorus brevilabris;Arthropoda;Branchiopoda;Anomopoda;Eurycercidae;FE;116;175;1;;;48339
Chydorus gibbus;Arthropoda;Branchiopoda;Anomopoda;Eurycercidae;FE;;;;;gap;
Chydorus latus;Arthropoda;Branchiopoda;Anomopoda;Eurycercidae;FE;;;;;gap;
Chydorus pizarri;Arthropoda;Branchiopoda;Anomopoda;Eurycercidae;FE;;;;;gap;
Disparalona hamata;Arthropoda;Branchiopoda;Anomopoda;Eurycercidae;FE;0;5;0;ITIS;gap;892197
Dunhevedia crassa;Arthropoda;Branchiopoda;Anomopoda;Eurycercidae;FE;16;23;2;;;8911
Ephemeroporus epiaphantoii;Arthropoda;Branchiopoda;Anomopoda;Eurycercidae;FE;;;;;gap;
Ephemeroporus margalefi;Arthropoda;Branchiopoda;Anomopoda;Eurycercidae;FE;;;;;gap;
Ephemeroporus phintonicus;Arthropoda;Branchiopoda;Anomopoda;Eurycercidae;FE;;;;FE;gap;
Estatheroporus gauthieri;Arthropoda;Branchiopoda;Anomopoda;Eurycercidae;FE;;;;;gap;
Eurycercus glacialis;Arthropoda;Branchiopoda;Anomopoda;Eurycercidae;FE;134;142;1;;;82272
Eurycercus lamellatus;Arthropoda;Branchiopoda;Anomopoda;Eurycercidae;BOLD,FE,iNat;14;21;3;FE;;71416
Eurycercus pompholygodes;Arthropoda;Branchiopoda;Anomopoda;Eurycercidae;FE;;;;;gap;
Kurzia latissima;Arthropoda;Branchiopoda;Anomopoda;Eurycercidae;FE;2;5;1;;;191231
Leydigia acanthocercoides;Arthropoda;Branchiopoda;Anomopoda;Eurycercidae;FE;8;8;1;WORMS;;275546
Oxyurella tenuicaudis;Arthropoda;Branchiopoda;Anomopoda;Eurycercidae;FE;;;;ITIS;gap;
Phrixura leei;Arthropoda;Branchiopoda;Anomopoda;Eurycercidae;FE;;;;FE;gap;
Phrixura rostrata;Arthropoda;Branchiopoda;Anomopoda;Eurycercidae;FE;;;;FE;gap;
Picripleuroxus denticulatus;Arthropoda;Branchiopoda;Anomopoda;Eurycercidae;FE;;;;ITIS;gap;8913
Picripleuroxus striatus;Arthropoda;Branchiopoda;Anomopoda;Eurycercidae;FE;12;13;1;ITIS;;369877
Pleuroxus letourneuxi;Arthropoda;Branchiopoda;Anomopoda;Eurycercidae;FE;;;;;gap;
Pleuroxus pigroides;Arthropoda;Branchiopoda;Anomopoda;Eurycercidae;FE;;;;;gap;
Rynchotalona falcata;Arthropoda;Branchiopoda;Anomopoda;Eurycercidae;FE;;;;FE;gap;
Rynchotalona kistarae;Arthropoda;Branchiopoda;Anomopoda;Eurycercidae;FE;;;;;gap;
