species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Parastephos pallidus;Arthropoda;Copepoda;Calanoida;Stephidae;WORMS;;;;;gap;
Stephos canariensis;Arthropoda;Copepoda;Calanoida;Stephidae;WORMS;;;;;gap;
Stephos cryptospinosus;Arthropoda;Copepoda;Calanoida;Stephidae;WORMS;;;;;gap;
Stephos fultoni;Arthropoda;Copepoda;Calanoida;Stephidae;WORMS;;;;;gap;
Stephos gyrans;Arthropoda;Copepoda;Calanoida;Stephidae;WORMS;;;;WORMS;gap;
Stephos lamellatus;Arthropoda;Copepoda;Calanoida;Stephidae;WORMS;;;;;gap;
Stephos margalefi;Arthropoda;Copepoda;Calanoida;Stephidae;WORMS;;;;WORMS;gap;
Stephos minor;Arthropoda;Copepoda;Calanoida;Stephidae;WORMS;;;;;gap;
Stephos rustadi;Arthropoda;Copepoda;Calanoida;Stephidae;WORMS;;;;;gap;
Stephos scotti;Arthropoda;Copepoda;Calanoida;Stephidae;WORMS;;;;;gap;
