species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Alavasoma muniesai;Arthropoda;Diplopoda;Chordeumatida;Vandeleumatidae;FE;;;;;gap;
Guipuzcosoma comasi;Arthropoda;Diplopoda;Chordeumatida;Vandeleumatidae;FE;;;;;gap;
Hypnosoma exornatum;Arthropoda;Diplopoda;Chordeumatida;Vandeleumatidae;FE;;;;;gap;
Hypnosoma juberthieorum;Arthropoda;Diplopoda;Chordeumatida;Vandeleumatidae;FE;;;;;gap;
Hypnosoma pallidum;Arthropoda;Diplopoda;Chordeumatida;Vandeleumatidae;FE;;;;;gap;
Niphatrogleuma wildbergeri;Arthropoda;Diplopoda;Chordeumatida;Vandeleumatidae;FE;;;;;gap;
Psychrosoma breuili;Arthropoda;Diplopoda;Chordeumatida;Vandeleumatidae;FE;;;;;gap;
Psychrosoma fadriquei;Arthropoda;Diplopoda;Chordeumatida;Vandeleumatidae;FE;;;;;gap;
Psychrosoma tarraconense;Arthropoda;Diplopoda;Chordeumatida;Vandeleumatidae;FE;;;;;gap;
Vandeleuma hispanicum;Arthropoda;Diplopoda;Chordeumatida;Vandeleumatidae;FE;;;;;gap;
Vandeleuma vasconicum;Arthropoda;Diplopoda;Chordeumatida;Vandeleumatidae;FE;;;;;gap;
