species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Catajapyx aquilionaris;Arthropoda;Diplura;Dicellurata;Japygidae;BOLD;16;18;4;;;561059
Catajapyx confusus;Arthropoda;Diplura;Dicellurata;Japygidae;FE;;;;FE;gap;
Catajapyx heteroclitus;Arthropoda;Diplura;Dicellurata;Japygidae;FE;;;;;gap;
Catajapyx hexachaetus;Arthropoda;Diplura;Dicellurata;Japygidae;FE;;;;;gap;
Catajapyx impar;Arthropoda;Diplura;Dicellurata;Japygidae;FE;;;;;gap;
Catajapyx singularis;Arthropoda;Diplura;Dicellurata;Japygidae;FE;;;;;gap;
Dipljapyx beroni;Arthropoda;Diplura;Dicellurata;Japygidae;FE;;;;;gap;
Dipljapyx fagniezi;Arthropoda;Diplura;Dicellurata;Japygidae;FE;;;;;gap;
Dipljapyx hirpinus;Arthropoda;Diplura;Dicellurata;Japygidae;FE;;;;;gap;
Dipljapyx humberti;Arthropoda;Diplura;Dicellurata;Japygidae;FE;;;;FE;gap;
Dipljapyx italicus;Arthropoda;Diplura;Dicellurata;Japygidae;FE;;;;FE;gap;
Dipljapyx limbarae;Arthropoda;Diplura;Dicellurata;Japygidae;FE;;;;;gap;
Dipljapyx nexus;Arthropoda;Diplura;Dicellurata;Japygidae;FE;;;;;gap;
Dipljapyx sardous;Arthropoda;Diplura;Dicellurata;Japygidae;FE;;;;;gap;
Dipljapyx silanus;Arthropoda;Diplura;Dicellurata;Japygidae;FE;;;;FE;gap;
Epijapyx corcyraeus;Arthropoda;Diplura;Dicellurata;Japygidae;FE;;;;FE;gap;
Gallojapyx iocosus;Arthropoda;Diplura;Dicellurata;Japygidae;FE;;;;;gap;
Japyx albanica;Arthropoda;Diplura;Dicellurata;Japygidae;FE;;;;;gap;
Japyx bolivari;Arthropoda;Diplura;Dicellurata;Japygidae;FE;;;;;gap;
Japyx cavicolus;Arthropoda;Diplura;Dicellurata;Japygidae;FE;;;;;gap;
Japyx dalmaticus;Arthropoda;Diplura;Dicellurata;Japygidae;FE;;;;;gap;
Japyx faucium;Arthropoda;Diplura;Dicellurata;Japygidae;FE;;;;;gap;
Japyx forficularis;Arthropoda;Diplura;Dicellurata;Japygidae;FE;;;;;gap;
Japyx insuetus;Arthropoda;Diplura;Dicellurata;Japygidae;FE;;;;;gap;
Japyx intercalatus;Arthropoda;Diplura;Dicellurata;Japygidae;FE;;;;;gap;
Japyx jonicus;Arthropoda;Diplura;Dicellurata;Japygidae;FE;;;;;gap;
Japyx meridionalis;Arthropoda;Diplura;Dicellurata;Japygidae;FE;;;;;gap;
Japyx minutus;Arthropoda;Diplura;Dicellurata;Japygidae;FE;;;;;gap;
Japyx simplex;Arthropoda;Diplura;Dicellurata;Japygidae;FE;;;;FE;gap;
Japyx solifugus;Arthropoda;Diplura;Dicellurata;Japygidae;FE;2;2;1;;;24813
Japyx validior;Arthropoda;Diplura;Dicellurata;Japygidae;FE;;;;;gap;
Megajapyx espanoli;Arthropoda;Diplura;Dicellurata;Japygidae;FE;;;;;gap;
Megajapyx gigas;Arthropoda;Diplura;Dicellurata;Japygidae;FE;;;;FE;gap;
Megajapyx graecus;Arthropoda;Diplura;Dicellurata;Japygidae;FE;;;;FE;gap;
Megajapyx grassi;Arthropoda;Diplura;Dicellurata;Japygidae;FE;;;;;gap;
Megajapyx lagoi;Arthropoda;Diplura;Dicellurata;Japygidae;FE;;;;FE;gap;
Megajapyx major;Arthropoda;Diplura;Dicellurata;Japygidae;FE;;;;FE;gap;
Megajapyx orientalinus;Arthropoda;Diplura;Dicellurata;Japygidae;FE;;;;FE;gap;
Megajapyx pieltaini;Arthropoda;Diplura;Dicellurata;Japygidae;FE;;;;FE;gap;
Megajapyx rhodianus;Arthropoda;Diplura;Dicellurata;Japygidae;FE;;;;;gap;
Megajapyx roeweri;Arthropoda;Diplura;Dicellurata;Japygidae;FE;;;;FE;gap;
Megajapyx solerii;Arthropoda;Diplura;Dicellurata;Japygidae;FE;;;;;gap;
Megajapyx stankovici;Arthropoda;Diplura;Dicellurata;Japygidae;FE;;;;;gap;
Megajapyx werneri;Arthropoda;Diplura;Dicellurata;Japygidae;FE;;;;FE;gap;
Metajapyx aemulans;Arthropoda;Diplura;Dicellurata;Japygidae;FE;;;;FE;gap;
Metajapyx athenarum;Arthropoda;Diplura;Dicellurata;Japygidae;FE;;;;;gap;
Metajapyx besucheti;Arthropoda;Diplura;Dicellurata;Japygidae;FE;;;;;gap;
Metajapyx bonadonai;Arthropoda;Diplura;Dicellurata;Japygidae;FE;;;;;gap;
Metajapyx braueri;Arthropoda;Diplura;Dicellurata;Japygidae;BOLD,FE;1;1;0;FE;;1062388
Metajapyx codinai;Arthropoda;Diplura;Dicellurata;Japygidae;FE;;;;FE;gap;
