species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Cetonia cypriaca;Arthropoda;Insecta;Coleoptera;Cetoniidae;FE;;;;;gap;
Gnorimus decempunctatus;Arthropoda;Insecta;Coleoptera;Cetoniidae;FE;0;1;0;;gap;910282
Heterocnemis graeca;Arthropoda;Insecta;Coleoptera;Cetoniidae;FE;0;4;0;FE;gap;165369
Osmoderma italica;Arthropoda;Insecta;Coleoptera;Cetoniidae;FE;;;;;gap;
Oxythyrea abigail;Arthropoda;Insecta;Coleoptera;Cetoniidae;FE;;;;;gap;
Oxythyrea albopicta;Arthropoda;Insecta;Coleoptera;Cetoniidae;FE;;;;FE;gap;
Oxythyrea cinctella;Arthropoda;Insecta;Coleoptera;Cetoniidae;FE;1;18;0;FE;;910090
Oxythyrea dulcis;Arthropoda;Insecta;Coleoptera;Cetoniidae;FE;;;;;gap;
Oxythyrea noemi;Arthropoda;Insecta;Coleoptera;Cetoniidae;FE;;;;;gap;
Paleira femorata;Arthropoda;Insecta;Coleoptera;Cetoniidae;FE;;;;FE;gap;
Protaetia afflicta;Arthropoda;Insecta;Coleoptera;Cetoniidae;FE;1;1;1;FE;;1160187
Protaetia angustata;Arthropoda;Insecta;Coleoptera;Cetoniidae;FE;0;8;0;FE;gap;910096
Protaetia cretica;Arthropoda;Insecta;Coleoptera;Cetoniidae;FE;;;;FE;gap;
Protaetia cuprina;Arthropoda;Insecta;Coleoptera;Cetoniidae;FE;0;5;0;FE;gap;910020
Protaetia funesta;Arthropoda;Insecta;Coleoptera;Cetoniidae;FE;;;;FE;gap;
Protaetia judith;Arthropoda;Insecta;Coleoptera;Cetoniidae;FE;;;;;gap;
Protaetia karelini;Arthropoda;Insecta;Coleoptera;Cetoniidae;FE;;;;FE;gap;
Protaetia rhodensis;Arthropoda;Insecta;Coleoptera;Cetoniidae;FE;;;;FE;gap;
Protaetia speciosa;Arthropoda;Insecta;Coleoptera;Cetoniidae;FE;;;;FE;gap;
Protaetia squamosa;Arthropoda;Insecta;Coleoptera;Cetoniidae;FE;;;;FE;gap;
Protaetia subpilosa;Arthropoda;Insecta;Coleoptera;Cetoniidae;FE;0;1;0;FE;gap;910102
Protaetia trojana;Arthropoda;Insecta;Coleoptera;Cetoniidae;FE;0;1;0;FE;gap;910103
Protaetia ungarica;Arthropoda;Insecta;Coleoptera;Cetoniidae;FE;0;4;0;FE;gap;910104
Protaetia vidua;Arthropoda;Insecta;Coleoptera;Cetoniidae;FE;0;4;0;FE;gap;910105
Trichius orientalis;Arthropoda;Insecta;Coleoptera;Cetoniidae;FE;;;;;gap;
