species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Aulacochthebius exaratus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;FE;gap;656438
Aulacochthebius narentinus;Arthropoda;Insecta;Coleoptera;Hydraenidae;BOLD,FE;;;;FE;gap;656440
Hydraena achaica;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Hydraena aethaliensis;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;;;520845
Hydraena affusa;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;;;651543
Hydraena albai;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;3;1;;;651544
Hydraena alcantarana;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;;;715790
Hydraena alia;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;0;1;0;;gap;911046
Hydraena allomorpha;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;0;3;0;ITIS;gap;655971
Hydraena alpicola;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;3;1;;;255537
Hydraena altamirensis;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;;;655972
Hydraena ambigua;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Hydraena anatolica;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;5;19;1;;;651545
Hydraena andalusa;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;7;1;;;520846
Hydraena andreinii;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Hydraena angulosa;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;0;1;0;FE;gap;655974
Hydraena angustata;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Hydraena arachthi;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Hydraena armipes;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;0;;;520847
Hydraena assimilis;Arthropoda;Insecta;Coleoptera;Hydraenidae;BOLD,FE;11;13;2;;;490810
Hydraena atrata;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;;;520848
Hydraena balearica;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;FE;;520850
Hydraena balli;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Hydraena barrosi;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;ITIS;;651547
Hydraena belgica;Arthropoda;Insecta;Coleoptera;Hydraenidae;BOLD,FE;6;7;1;;;490811
Hydraena bensae;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;;;520851
Hydraena bicolorata;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Hydraena bicuspidata;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Hydraena biltoni;Arthropoda;Insecta;Coleoptera;Hydraenidae;BOLD;2;3;1;;;911047
Hydraena bimagua;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Hydraena bisulcata;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;5;1;ITIS;;520884
Hydraena bitruncata;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;3;1;;;520885
Hydraena bolivari;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;4;1;;;520852
Hydraena bononiensis;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Hydraena bosnica;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Hydraena brachymera;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;0;2;0;;gap;651548
Hydraena britteni;Arthropoda;Insecta;Coleoptera;Hydraenidae;BOLD,FE;16;21;3;;;286695
Hydraena bulgarica;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Hydraena canakcioglui;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;0;1;0;FE;gap;651549
Hydraena capta;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;15;1;;;520853
Hydraena carbonaria;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;;;651550
Hydraena carniolica;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;0;1;0;;gap;651551
Hydraena cata;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Hydraena catalonica;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;4;1;;;520854
Hydraena cephalleniaca;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Hydraena chiesai;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;0;1;0;;gap;655976
Hydraena christinae;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Hydraena cordata;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;4;1;FE;;520857
Hydraena corinna;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;2;3;2;;;655978
Hydraena corrugis;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;;;715791
Hydraena croatica;Arthropoda;Insecta;Coleoptera;Hydraenidae;BOLD,FE;2;4;1;FE;;655980
Hydraena curta;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;0;1;0;;gap;655981
Hydraena czernohorskyi;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Hydraena dalmatina;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;0;1;0;;gap;911350
Hydraena decolor;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Hydraena delia;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;;;520858
Hydraena dentipes;Arthropoda;Insecta;Coleoptera;Hydraenidae;BOLD,FE;7;17;1;;;248212
Hydraena devillei;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;;;520860
Hydraena devincta;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;0;1;0;;gap;655982
Hydraena discreta;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Hydraena dolichogaster;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Hydraena egoni;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;0;1;0;;gap;651561
Hydraena elisabethae;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Hydraena emarginata;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;11;1;;;520862
Hydraena epeirosi;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Hydraena evanescens;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;;;520863
Hydraena exarata;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;;;520888
Hydraena exasperata;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;3;12;1;;;520889
Hydraena excisa;Arthropoda;Insecta;Coleoptera;Hydraenidae;BOLD,FE;4;5;1;;;248177
Hydraena filum;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Hydraena finita;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Hydraena fiorii;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Hydraena gaditana;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;;;520865
Hydraena georgiadesi;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Hydraena gracilis;Arthropoda;Insecta;Coleoptera;Hydraenidae;BOLD,FE;44;119;2;;;248176
Hydraena grandis;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;0;2;0;;gap;655983
Hydraena graphica;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;0;1;0;;gap;655984
Hydraena grata;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Hydraena gregalis;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Hydraena gynaephila;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Hydraena helena;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;0;2;0;;gap;651565
Hydraena hernandoi;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;;;520867
Hydraena heterogyna;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;3;1;FE;;520868
Hydraena hispanica;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;2;3;1;;;651566
Hydraena holdhausi;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;0;1;0;;gap;651567
Hydraena hortensis;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Hydraena hungarica;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Hydraena iberica;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;8;1;;;651572
Hydraena imbria;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Hydraena imperatrix;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Hydraena inapicipalpis;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;0;1;0;;gap;911353
