species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Conalia baudii;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Curtimorda bisignata;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE,iNat;4;5;1;FE;;309909
Curtimorda brevicornis;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD;0;5;0;;gap;1128336
Curtimorda maculosa;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE,iNat;14;26;2;FE;;309908
Dellamora palposa;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Hoshihananomia gacognei;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;FE;gap;
Hoshihananomia perlata;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE,iNat;10;10;2;FE;;512505
Hoshihananomia transsylvanica;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Iberomorda sulcicauda;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;FE;gap;
Iberomorda viridipennis;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;FE;gap;
Mediimorda angeliquae;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mediimorda batteni;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mediimorda bipunctata;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;FE;gap;
Mediimorda brusteli;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordella aculeata;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE;29;33;3;FE;;318058
Mordella aradasiana;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordella brachyura;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE;20;22;1;FE;;312580
Mordella comptei;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordella duplicata;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;FE;gap;
Mordella gratiosa;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordella hofferi;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordella holomelaena;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE,iNat;23;23;1;;;309962
Mordella huetheri;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE;2;2;1;;;346016
Mordella legionensis;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordella leucaspis;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE;8;9;0;FE;;772168
Mordella longicauda;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordella meridionalis;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE;1;1;1;;;591926
Mordella palmae;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordella purpurascens;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordella pygidialis;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE;13;13;1;;;641183
Mordella velutina;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordella vestita;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;FE;gap;
Mordella viridescens;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellaria aurofasciata;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE;2;6;0;FE;;573535
Mordellistena acuticollis;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE;13;16;1;;;725914
Mordellistena aegea;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena aequalica;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena aertsi;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena alpicola;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena altifrons;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena angustula;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena apicerufa;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena atrogemellata;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena aureomicans;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena austriaca;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE;3;3;1;FE;;1023017;513836
Mordellistena austriacensis;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena balcanica;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena balearica;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena baliani;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena bavarica;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena bicoloripilosa;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE;16;17;2;;;318140
Mordellistena biroi;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena breddini;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
