species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Acrotrichis arnoldi;Arthropoda;Insecta;Coleoptera;Ptiliidae;FE;;;;;gap;
Acrotrichis atomaria;Arthropoda;Insecta;Coleoptera;Ptiliidae;BOLD,FE;3;11;0;FE;;167619
Acrotrichis brevipennis;Arthropoda;Insecta;Coleoptera;Ptiliidae;BOLD,FE;3;7;0;FE;;191273
Acrotrichis caphalotes;Arthropoda;Insecta;Coleoptera;Ptiliidae;FE;;;;FE;gap;
Acrotrichis cognata;Arthropoda;Insecta;Coleoptera;Ptiliidae;BOLD,FE;110;113;1;FE;;191282
Acrotrichis danica;Arthropoda;Insecta;Coleoptera;Ptiliidae;FE;;;;;gap;
Acrotrichis dispar;Arthropoda;Insecta;Coleoptera;Ptiliidae;BOLD,FE;8;24;1;FE;;191272;456858
Acrotrichis fascicularis;Arthropoda;Insecta;Coleoptera;Ptiliidae;BOLD,FE;0;17;1;FE;gap;191277
Acrotrichis grandicollis;Arthropoda;Insecta;Coleoptera;Ptiliidae;BOLD,FE;14;30;3;;;191284
Acrotrichis henrici;Arthropoda;Insecta;Coleoptera;Ptiliidae;BOLD,FE;3;7;1;FE;;191276
Acrotrichis insularis;Arthropoda;Insecta;Coleoptera;Ptiliidae;BOLD,FE;39;48;3;FE;;166092
Acrotrichis intermedia;Arthropoda;Insecta;Coleoptera;Ptiliidae;BOLD,FE;13;33;2;FE;;167706
Acrotrichis josephi;Arthropoda;Insecta;Coleoptera;Ptiliidae;FE;;;;FE;gap;
Acrotrichis lucidula;Arthropoda;Insecta;Coleoptera;Ptiliidae;FE;;;;;gap;
Acrotrichis matthewsi;Arthropoda;Insecta;Coleoptera;Ptiliidae;FE;;;;FE;gap;
Acrotrichis montandoni;Arthropoda;Insecta;Coleoptera;Ptiliidae;FE;;;;;gap;
Acrotrichis montandonii;Arthropoda;Insecta;Coleoptera;Ptiliidae;BOLD;7;22;2;;;399008
Acrotrichis norvegica;Arthropoda;Insecta;Coleoptera;Ptiliidae;FE;;;;;gap;
Acrotrichis parva;Arthropoda;Insecta;Coleoptera;Ptiliidae;BOLD,FE;0;3;0;;gap;471065
Acrotrichis pumila;Arthropoda;Insecta;Coleoptera;Ptiliidae;FE;;;;FE;gap;
Acrotrichis rosskotheni;Arthropoda;Insecta;Coleoptera;Ptiliidae;FE;;;;FE;gap;
Acrotrichis rugulosa;Arthropoda;Insecta;Coleoptera;Ptiliidae;BOLD,FE;3;5;1;;;191278
Acrotrichis sanctaehelenae;Arthropoda;Insecta;Coleoptera;Ptiliidae;FE;;;;;gap;
Acrotrichis sericans;Arthropoda;Insecta;Coleoptera;Ptiliidae;BOLD,FE;8;9;3;FE;;191271
Acrotrichis silvatica;Arthropoda;Insecta;Coleoptera;Ptiliidae;BOLD,FE;0;5;0;;gap;191274
Acrotrichis sitkaensis;Arthropoda;Insecta;Coleoptera;Ptiliidae;BOLD,FE;9;18;3;FE;;167660
Acrotrichis sjobergi;Arthropoda;Insecta;Coleoptera;Ptiliidae;FE;;;;;gap;
Acrotrichis strandi;Arthropoda;Insecta;Coleoptera;Ptiliidae;FE;;;;;gap;
Acrotrichis suecica;Arthropoda;Insecta;Coleoptera;Ptiliidae;FE;;;;;gap;
Acrotrichis thoracica;Arthropoda;Insecta;Coleoptera;Ptiliidae;BOLD,FE;0;4;0;FE;gap;191270
Acrotrichis umbricola;Arthropoda;Insecta;Coleoptera;Ptiliidae;FE;;;;FE;gap;
Acrotrichis volans;Arthropoda;Insecta;Coleoptera;Ptiliidae;FE;;;;FE;gap;
Acrotrichis wollastoni;Arthropoda;Insecta;Coleoptera;Ptiliidae;FE;;;;FE;gap;
Actidium aterrimum;Arthropoda;Insecta;Coleoptera;Ptiliidae;FE;;;;FE;gap;
Actidium boudieri;Arthropoda;Insecta;Coleoptera;Ptiliidae;FE;;;;FE;gap;
Actidium coarctatum;Arthropoda;Insecta;Coleoptera;Ptiliidae;FE;;;;FE;gap;
Actidium kraatzi;Arthropoda;Insecta;Coleoptera;Ptiliidae;FE;;;;;gap;
Actidium reitteri;Arthropoda;Insecta;Coleoptera;Ptiliidae;FE;;;;;gap;
Actidium reticulatum;Arthropoda;Insecta;Coleoptera;Ptiliidae;FE;;;;;gap;
Actidium variolatum;Arthropoda;Insecta;Coleoptera;Ptiliidae;FE;;;;FE;gap;
Actinopteryx fucicola;Arthropoda;Insecta;Coleoptera;Ptiliidae;FE;;;;FE;gap;
Astatopteryx laticollis;Arthropoda;Insecta;Coleoptera;Ptiliidae;FE;;;;FE;gap;
Baeocrara japonica;Arthropoda;Insecta;Coleoptera;Ptiliidae;BOLD,FE;3;3;1;FE;;191285
Baeocrara variolosa;Arthropoda;Insecta;Coleoptera;Ptiliidae;BOLD,FE;14;21;1;FE;;191269
Bambara fusca;Arthropoda;Insecta;Coleoptera;Ptiliidae;FE;;;;FE;gap;
Baranowskiella ehnstromi;Arthropoda;Insecta;Coleoptera;Ptiliidae;BOLD,FE;11;13;1;;;665717
Euryptilium gillmeisteri;Arthropoda;Insecta;Coleoptera;Ptiliidae;FE;;;;;gap;
Euryptilium saxonicum;Arthropoda;Insecta;Coleoptera;Ptiliidae;BOLD,FE;3;6;2;FE;;456846
Gillmeisterium nitidum;Arthropoda;Insecta;Coleoptera;Ptiliidae;BOLD,FE;;;;FE;gap;167709
Micridium angulicolle;Arthropoda;Insecta;Coleoptera;Ptiliidae;FE;;;;FE;gap;
Micridium halidaii;Arthropoda;Insecta;Coleoptera;Ptiliidae;BOLD,FE;2;5;1;FE;;318214
Micridium vittatum;Arthropoda;Insecta;Coleoptera;Ptiliidae;FE;1;4;1;FE;;191300
Microptilium palustre;Arthropoda;Insecta;Coleoptera;Ptiliidae;BOLD,FE;2;2;0;;;1132705
Microptilium pulchellum;Arthropoda;Insecta;Coleoptera;Ptiliidae;BOLD,FE;2;2;1;FE;;471073
Millidium minutissimum;Arthropoda;Insecta;Coleoptera;Ptiliidae;FE;2;2;1;FE;;191304
Nephanes euphorbiicola;Arthropoda;Insecta;Coleoptera;Ptiliidae;FE;;;;;gap;
Nephanes titan;Arthropoda;Insecta;Coleoptera;Ptiliidae;BOLD,FE;2;8;1;FE;;191264
Nossidium flachi;Arthropoda;Insecta;Coleoptera;Ptiliidae;FE;;;;;gap;
Nossidium pilosellum;Arthropoda;Insecta;Coleoptera;Ptiliidae;BOLD,FE;13;17;1;FE;;330100
Nossidium piloselum;Arthropoda;Insecta;Coleoptera;Ptiliidae;BOLD;;;;;gap;718782
Oligella foveolata;Arthropoda;Insecta;Coleoptera;Ptiliidae;BOLD,FE;0;3;0;FE;gap;573509
Oligella insignis;Arthropoda;Insecta;Coleoptera;Ptiliidae;FE;;;;FE;gap;
Oligella intermedia;Arthropoda;Insecta;Coleoptera;Ptiliidae;FE;;;;;gap;
Oligella nana;Arthropoda;Insecta;Coleoptera;Ptiliidae;FE;;;;FE;gap;
Ptenidium brenskei;Arthropoda;Insecta;Coleoptera;Ptiliidae;BOLD,FE;3;3;1;;;403075
Ptenidium coecum;Arthropoda;Insecta;Coleoptera;Ptiliidae;FE;;;;;gap;
Ptenidium formicetorum;Arthropoda;Insecta;Coleoptera;Ptiliidae;BOLD,FE;9;17;1;FE;;191251
Ptenidium fuscicorne;Arthropoda;Insecta;Coleoptera;Ptiliidae;BOLD,FE;15;16;1;FE;;191280
