species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Amictus compressus;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;SyDip;gap;
Amictus insularis;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;SyDip;gap;
Amictus pictus;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;;gap;
Amictus pulchellus;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;SyDip;gap;
Amictus validus;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;;gap;
Amictus variegatus;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;SyDip;gap;
Anastoechus andalusiacus;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;;gap;
Anastoechus bitinctus;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;;gap;
Anastoechus exalbidus;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;SyDip;gap;
Anastoechus hyrcanus;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;SyDip;gap;
Anastoechus latifrons;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;SyDip;gap;
Anastoechus nitidulus;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;SyDip;gap;
Anastoechus setosus;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;SyDip;gap;
Anastoechus stramineus;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;SyDip;gap;
Anastoechus trisignatus;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;SyDip;gap;
Anthrax aethiops;Arthropoda;Insecta;Diptera;Bombyliidae;FE;;;;FE;gap;
Anthrax anthrax;Arthropoda;Insecta;Diptera;Bombyliidae;BOLD,FE,iNat,SyDip;14;14;3;SyDip;;467365
Anthrax binotatus;Arthropoda;Insecta;Diptera;Bombyliidae;FE;;;;;gap;
Anthrax bowdeni;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;;gap;
