species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Anapausis albohalterata;Arthropoda;Insecta;Diptera;Scatopsidae;BOLD,FE,SyDip;10;12;1;;;374052
Anapausis annulicauda;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;;gap;
Anapausis aratrix;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;;gap;
Anapausis baueri;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;;gap;
Anapausis conica;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;;gap;
Anapausis cookiana;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;;gap;
Anapausis dudai;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;;gap;
Anapausis dufourella;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;;gap;
Anapausis floricola;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;;gap;
Anapausis foveolata;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;;gap;
Anapausis haemorrhoidalis;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;;gap;
Anapausis helvetica;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;;gap;
Anapausis inermis;Arthropoda;Insecta;Diptera;Scatopsidae;BOLD,FE,SyDip;0;4;0;SyDip;gap;374053
Anapausis nigripes;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;SyDip;gap;
Anapausis pastoralis;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;;gap;
Anapausis pollicata;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;;gap;
Anapausis pseudohelvetica;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;;gap;
Anapausis rectinervis;Arthropoda;Insecta;Diptera;Scatopsidae;BOLD,FE,SyDip;11;11;1;;;374054
Anapausis rohaceki;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;;gap;
Anapausis soluta;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;SyDip;gap;
Anapausis sulcata;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;;gap;
Anapausis talpae;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;SyDip;gap;
Anapausis wollastoni;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;SyDip;gap;
Apiloscatopse bifilata;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;SyDip;gap;
Apiloscatopse filamentosa;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;SyDip;gap;
Apiloscatopse flavicollis;Arthropoda;Insecta;Diptera;Scatopsidae;BOLD,FE,SyDip;10;13;0;SyDip;;374056
Apiloscatopse flavocincta;Arthropoda;Insecta;Diptera;Scatopsidae;BOLD,FE,SyDip;156;156;1;SyDip;;737971
Apiloscatopse fuscohalterata;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;SyDip;gap;
Apiloscatopse gracilis;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;SyDip;gap;
Apiloscatopse handlirschi;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;SyDip;gap;
Apiloscatopse mattheyi;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;;gap;
Apiloscatopse montenegrina;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;SyDip;gap;
Apiloscatopse picea;Arthropoda;Insecta;Diptera;Scatopsidae;BOLD,FE,SyDip;7;7;1;SyDip;;374057
Apiloscatopse scutellata;Arthropoda;Insecta;Diptera;Scatopsidae;BOLD,FE,SyDip;5;9;0;SyDip;;374058
Apiloscatopse styriaca;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;SyDip;gap;
Apiloscatopse subgracilis;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;;gap;
Arthria analis;Arthropoda;Insecta;Diptera;Scatopsidae;BOLD,FE,SyDip;3;4;1;ITIS;;671678
Aspistes berolinensis;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;SyDip;gap;
Aspistes freyi;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;;gap;
Aspistes helleni;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;;gap;
Coboldia fuscipes;Arthropoda;Insecta;Diptera;Scatopsidae;BOLD,FE,SyDip;138;146;2;ITIS;;106893
Colobostema dudai;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;;gap;
