species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Acompocoris alpinus;Arthropoda;Insecta;Hemiptera;Anthocoridae;BOLD,FE,CoPH;9;20;2;CoPH;;682451
Acompocoris montanus;Arthropoda;Insecta;Hemiptera;Anthocoridae;BOLD,FE,CoPH;0;1;0;;gap;1022723
Acompocoris pygmaeus;Arthropoda;Insecta;Hemiptera;Anthocoridae;BOLD,FE,CoPH;2;20;1;CoPH;;677988
Amphiareus constrictus;Arthropoda;Insecta;Hemiptera;Anthocoridae;FE,CoPH;4;5;3;CoPH;;521671
Amphiareus obscuriceps;Arthropoda;Insecta;Hemiptera;Anthocoridae;BOLD,FE,CoPH,iNat;36;41;3;CoPH;;174404
Anthocoris alienus;Arthropoda;Insecta;Hemiptera;Anthocoridae;FE;;;;CoPH;gap;
Anthocoris amplicollis;Arthropoda;Insecta;Hemiptera;Anthocoridae;BOLD,FE,CoPH;5;17;2;CoPH;;350311
Anthocoris butleri;Arthropoda;Insecta;Hemiptera;Anthocoridae;BOLD,FE,CoPH;4;4;1;CoPH;;678014
Anthocoris caucasicus;Arthropoda;Insecta;Hemiptera;Anthocoridae;FE;;;;;gap;
Anthocoris confusus;Arthropoda;Insecta;Hemiptera;Anthocoridae;BOLD,FE,CoPH;24;37;2;CoPH;;374614
Anthocoris gallarumulmi;Arthropoda;Insecta;Hemiptera;Anthocoridae;BOLD,FE,CoPH;14;14;1;CoPH;;389017
Anthocoris limbatus;Arthropoda;Insecta;Hemiptera;Anthocoridae;BOLD,FE,CoPH;13;18;1;CoPH;;455419
Anthocoris minki ;Arthropoda;Insecta;Hemiptera;Anthocoridae;BOLD,FE,CoPH;;;;CoPH;gap;495327;521696
Anthocoris nemoralis;Arthropoda;Insecta;Hemiptera;Anthocoridae;BOLD,FE,CoPH,iNat;43;69;3;CoPH;;32166
Anthocoris nemorum;Arthropoda;Insecta;Hemiptera;Anthocoridae;BOLD,FE,CoPH,iNat;236;256;2;CoPH;;373972
Anthocoris pilosus;Arthropoda;Insecta;Hemiptera;Anthocoridae;BOLD,FE,CoPH;1;8;0;CoPH;;373750
Anthocoris salicis;Arthropoda;Insecta;Hemiptera;Anthocoridae;FE;;;;;gap;
Anthocoris sarothamni;Arthropoda;Insecta;Hemiptera;Anthocoridae;BOLD,FE,CoPH;4;11;1;CoPH;;455418
Anthocoris simulans;Arthropoda;Insecta;Hemiptera;Anthocoridae;BOLD,FE,CoPH;9;10;1;CoPH;;455424
