species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Agenioideus apicalis;Arthropoda;Insecta;Hymenoptera;Pompilidae;BOLD,FE,HySI,DTN;3;8;1;HySI;;311791
Agenioideus arenicolus;Arthropoda;Insecta;Hymenoptera;Pompilidae;BOLD,FE,HySI;4;4;0;HySI;;1079052
Agenioideus ciliatus;Arthropoda;Insecta;Hymenoptera;Pompilidae;BOLD,FE,HySI,DTN;10;19;1;HySI;;311796
Agenioideus cinctellus;Arthropoda;Insecta;Hymenoptera;Pompilidae;BOLD,FE,iNat,HySI,DTN;70;109;1;HySI;;311790
Agenioideus coronatus;Arthropoda;Insecta;Hymenoptera;Pompilidae;FE,HySI;;;;HySI;gap;
Agenioideus dichrous;Arthropoda;Insecta;Hymenoptera;Pompilidae;BOLD,FE,HySI;2;3;1;HySI;;677299
Agenioideus excisus;Arthropoda;Insecta;Hymenoptera;Pompilidae;BOLD,FE,HySI;3;6;1;HySI;;677300
Agenioideus fascinubecula;Arthropoda;Insecta;Hymenoptera;Pompilidae;BOLD,FE,HySI;1;3;1;HySI;;852613
Agenioideus fertoni;Arthropoda;Insecta;Hymenoptera;Pompilidae;FE,HySI;;;;HySI;gap;
Agenioideus gentilis;Arthropoda;Insecta;Hymenoptera;Pompilidae;FE,HySI;;;;HySI;gap;
Agenioideus kerkyrus;Arthropoda;Insecta;Hymenoptera;Pompilidae;FE,HySI;;;;;gap;
Agenioideus nubecula;Arthropoda;Insecta;Hymenoptera;Pompilidae;BOLD,FE,HySI,DTN;19;34;2;HySI;;311795;1122197
Agenioideus rhodosoma;Arthropoda;Insecta;Hymenoptera;Pompilidae;FE,HySI;1;10;1;HySI;;677301
Agenioideus rytiphorus;Arthropoda;Insecta;Hymenoptera;Pompilidae;FE,HySI;0;2;0;HySI;gap;921707
Agenioideus seminiger;Arthropoda;Insecta;Hymenoptera;Pompilidae;FE,HySI;;;;HySI;gap;
Agenioideus simonthomasi;Arthropoda;Insecta;Hymenoptera;Pompilidae;BOLD,HySI;2;2;1;;;1141469
Agenioideus tussaci;Arthropoda;Insecta;Hymenoptera;Pompilidae;FE,HySI;;;;;gap;
Agenioideus usurarius;Arthropoda;Insecta;Hymenoptera;Pompilidae;BOLD,FE,iNat,HySI,DTN;7;21;1;HySI;;265259;198516
Amblyellus hasdrubal;Arthropoda;Insecta;Hymenoptera;Pompilidae;BOLD,FE,HySI,DTN;4;5;1;HySI;;677297
Anoplius aeruginosus;Arthropoda;Insecta;Hymenoptera;Pompilidae;BOLD,HySI;10;19;1;HySI;;474184;311805
Anoplius alpinobalticus;Arthropoda;Insecta;Hymenoptera;Pompilidae;BOLD,FE,HySI,DTN;5;9;2;;;311802
Anoplius caviventris;Arthropoda;Insecta;Hymenoptera;Pompilidae;BOLD,FE,HySI,DTN;6;13;3;HySI;;311804
Anoplius concinnus;Arthropoda;Insecta;Hymenoptera;Pompilidae;BOLD,FE,HySI,DTN;18;24;3;HySI;;311803
Anoplius eous;Arthropoda;Insecta;Hymenoptera;Pompilidae;FE,HySI;;;;;gap;
Anoplius infuscatus;Arthropoda;Insecta;Hymenoptera;Pompilidae;BOLD,FE,HySI,DTN;49;63;6;HySI;;311805
Anoplius nigerrimus;Arthropoda;Insecta;Hymenoptera;Pompilidae;BOLD,FE,iNat,HySI,DTN;56;84;2;HySI;;311806
Anoplius piliventris;Arthropoda;Insecta;Hymenoptera;Pompilidae;FE,HySI;;;;HySI;gap;
Anoplius suspectus;Arthropoda;Insecta;Hymenoptera;Pompilidae;BOLD,FE,HySI,DTN;;;;HySI;gap;311807
Anospilus barbilabris;Arthropoda;Insecta;Hymenoptera;Pompilidae;FE,HySI;;;;;gap;
Anospilus basalis;Arthropoda;Insecta;Hymenoptera;Pompilidae;FE,HySI;;;;HySI;gap;
Anospilus carbonicolor;Arthropoda;Insecta;Hymenoptera;Pompilidae;FE,HySI;;;;HySI;gap;
Anospilus intactus;Arthropoda;Insecta;Hymenoptera;Pompilidae;FE,HySI;;;;HySI;gap;
Anospilus larachei;Arthropoda;Insecta;Hymenoptera;Pompilidae;BOLD,FE,HySI;;;;HySI;gap;474166
Anospilus melanarius;Arthropoda;Insecta;Hymenoptera;Pompilidae;FE,HySI;;;;HySI;gap;
Anospilus sardus;Arthropoda;Insecta;Hymenoptera;Pompilidae;FE,HySI;;;;;gap;
Anospilus similis;Arthropoda;Insecta;Hymenoptera;Pompilidae;FE,HySI;;;;HySI;gap;
Anospilus sotoserranensis;Arthropoda;Insecta;Hymenoptera;Pompilidae;FE,HySI;;;;;gap;
Aporinellus moestus;Arthropoda;Insecta;Hymenoptera;Pompilidae;BOLD,FE,HySI;3;7;0;HySI;;593879
Aporinellus sexmaculatus;Arthropoda;Insecta;Hymenoptera;Pompilidae;BOLD,FE,HySI,DTN;17;28;5;HySI;;311813
Aporus planiceps;Arthropoda;Insecta;Hymenoptera;Pompilidae;FE,HySI;;;;HySI;gap;
Aporus pollux;Arthropoda;Insecta;Hymenoptera;Pompilidae;BOLD,FE,HySI,DTN;7;11;2;HySI;;311816
Aporus unicolor;Arthropoda;Insecta;Hymenoptera;Pompilidae;BOLD,FE,HySI,DTN;17;42;1;HySI;;311817
Arachnospila abnormis;Arthropoda;Insecta;Hymenoptera;Pompilidae;BOLD,FE,HySI,DTN;6;18;2;HySI;;311866
Arachnospila alpivaga;Arthropoda;Insecta;Hymenoptera;Pompilidae;BOLD,FE,HySI;6;10;1;HySI;;311779
Arachnospila alvarabnormis;Arthropoda;Insecta;Hymenoptera;Pompilidae;BOLD,FE,HySI,DTN;0;4;0;HySI;gap;474183;389994
Arachnospila anceps;Arthropoda;Insecta;Hymenoptera;Pompilidae;BOLD,FE,HySI,DTN;28;55;3;HySI;;311780
Arachnospila asiatica;Arthropoda;Insecta;Hymenoptera;Pompilidae;BOLD,FE,HySI,DTN;;;;HySI;gap;733774
Arachnospila ausa;Arthropoda;Insecta;Hymenoptera;Pompilidae;BOLD,FE,HySI,DTN;2;11;1;HySI;;311778
Arachnospila brevispinis;Arthropoda;Insecta;Hymenoptera;Pompilidae;FE,HySI;;;;;gap;
Arachnospila canariensis;Arthropoda;Insecta;Hymenoptera;Pompilidae;FE,HySI;;;;;gap;
Arachnospila colpostoma;Arthropoda;Insecta;Hymenoptera;Pompilidae;BOLD,FE,HySI,DTN;0;2;0;HySI;gap;519756;474182
Arachnospila conjungens;Arthropoda;Insecta;Hymenoptera;Pompilidae;BOLD,FE,HySI;3;6;0;HySI;;705581
Arachnospila fuscomarginata;Arthropoda;Insecta;Hymenoptera;Pompilidae;BOLD,FE,HySI,DTN;11;17;2;HySI;;311777
Arachnospila gibbomima;Arthropoda;Insecta;Hymenoptera;Pompilidae;BOLD,FE,HySI;1;5;1;HySI;;705582;461310
Arachnospila guentheri;Arthropoda;Insecta;Hymenoptera;Pompilidae;BOLD,FE,HySI,DTN;;;;HySI;gap;512014
Arachnospila hedickei;Arthropoda;Insecta;Hymenoptera;Pompilidae;BOLD,FE,HySI;14;17;2;HySI;;311788
Arachnospila holomelas;Arthropoda;Insecta;Hymenoptera;Pompilidae;FE,HySI;;;;HySI;gap;534590
Arachnospila ionica;Arthropoda;Insecta;Hymenoptera;Pompilidae;FE,HySI;;;;HySI;gap;
Arachnospila longifrons;Arthropoda;Insecta;Hymenoptera;Pompilidae;FE,HySI;;;;;gap;
Arachnospila minutula;Arthropoda;Insecta;Hymenoptera;Pompilidae;BOLD,FE,HySI,DTN;38;44;4;HySI;;311794
Arachnospila mongolopinata;Arthropoda;Insecta;Hymenoptera;Pompilidae;BOLD,FE,HySI,DTN;;;;HySI;gap;474181
Arachnospila nivalabnormis;Arthropoda;Insecta;Hymenoptera;Pompilidae;BOLD,FE,HySI,DTN;5;12;1;HySI;;311785
Arachnospila nuda;Arthropoda;Insecta;Hymenoptera;Pompilidae;FE,HySI;;;;HySI;gap;
Arachnospila poultoni;Arthropoda;Insecta;Hymenoptera;Pompilidae;FE,HySI;;;;HySI;gap;
Arachnospila rhaetabnormis;Arthropoda;Insecta;Hymenoptera;Pompilidae;BOLD,FE,HySI;0;1;0;HySI;gap;733775;461308
Arachnospila rufa;Arthropoda;Insecta;Hymenoptera;Pompilidae;BOLD,FE,HySI,DTN;6;13;1;HySI;;311783
Arachnospila silvana;Arthropoda;Insecta;Hymenoptera;Pompilidae;BOLD,FE,HySI,DTN;1;5;1;HySI;;311784;198521
