species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Asaphocrita obsoletella;Arthropoda;Insecta;Lepidoptera;Blastobasidae;FE,LF;;;;FE;gap;
Blastobasis adustella;Arthropoda;Insecta;Lepidoptera;Blastobasidae;BOLD,FE,LF;12;13;2;FE;;197969
Blastobasis bassii;Arthropoda;Insecta;Lepidoptera;Blastobasidae;FE,LF;;;;;gap;
Blastobasis centralasiae;Arthropoda;Insecta;Lepidoptera;Blastobasidae;FE,LF;2;6;1;;;786995
Blastobasis confusella;Arthropoda;Insecta;Lepidoptera;Blastobasidae;LF;;;;;gap;
Blastobasis decolorella;Arthropoda;Insecta;Lepidoptera;Blastobasidae;BOLD,FE,LF;6;7;2;FE;;197878
Blastobasis desertarum;Arthropoda;Insecta;Lepidoptera;Blastobasidae;BOLD,FE,LF;10;10;1;FE;;377819
Blastobasis divisus;Arthropoda;Insecta;Lepidoptera;Blastobasidae;FE,LF;;;;FE;gap;
Blastobasis exclusa;Arthropoda;Insecta;Lepidoptera;Blastobasidae;FE,LF;;;;FE;gap;
Blastobasis fuscomaculella;Arthropoda;Insecta;Lepidoptera;Blastobasidae;BOLD;0;2;0;;gap;459671
Blastobasis glandulella;Arthropoda;Insecta;Lepidoptera;Blastobasidae;BOLD,FE,LF,iNat;337;344;4;BEL;;18065
Blastobasis helleri;Arthropoda;Insecta;Lepidoptera;Blastobasidae;FE,LF;;;;;gap;
Blastobasis insularis;Arthropoda;Insecta;Lepidoptera;Blastobasidae;FE,LF;;;;FE;gap;
Blastobasis lacticolella;Arthropoda;Insecta;Lepidoptera;Blastobasidae;BOLD,FE,LF;6;8;1;;;197958
Blastobasis laurisilvae;Arthropoda;Insecta;Lepidoptera;Blastobasidae;FE,LF;;;;;gap;
Blastobasis lavernella;Arthropoda;Insecta;Lepidoptera;Blastobasidae;FE,LF;;;;;gap;
Blastobasis luteella;Arthropoda;Insecta;Lepidoptera;Blastobasidae;BOLD,FE,LF;4;4;1;;;377815
Blastobasis magna;Arthropoda;Insecta;Lepidoptera;Blastobasidae;BOLD,FE,LF;5;5;1;;;786993
Blastobasis marmorosella;Arthropoda;Insecta;Lepidoptera;Blastobasidae;FE,LF;;;;FE;gap;
Blastobasis maroccanella;Arthropoda;Insecta;Lepidoptera;Blastobasidae;BOLD,FE,LF;28;35;2;FE;;377818
Blastobasis nigromaculata;Arthropoda;Insecta;Lepidoptera;Blastobasidae;BOLD,FE,LF;2;2;1;FE;;377816
Blastobasis ochreopalpella;Arthropoda;Insecta;Lepidoptera;Blastobasidae;FE,LF;;;;FE;gap;
Blastobasis pannonica;Arthropoda;Insecta;Lepidoptera;Blastobasidae;BOLD,LF;19;19;3;;;464493
Blastobasis phycidella;Arthropoda;Insecta;Lepidoptera;Blastobasidae;BOLD,FE,LF;129;145;6;FE;;258087
Blastobasis pica;Arthropoda;Insecta;Lepidoptera;Blastobasidae;FE,LF;;;;FE;gap;
