species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Alloclita francoeuriae;Arthropoda;Insecta;Lepidoptera;Cosmopterigidae;BOLD,LF;2;2;1;;;894638
Alloclita recisella;Arthropoda;Insecta;Lepidoptera;Cosmopterigidae;BOLD,FE,LF;4;6;1;BT;;786988
Anatrachyntis argyrogrammos;Arthropoda;Insecta;Lepidoptera;Cosmopterigidae;BOLD;3;7;1;;;746891
Anatrachyntis badia;Arthropoda;Insecta;Lepidoptera;Cosmopterigidae;BOLD,FE,LF;365;373;1;FE;;362499
Anatrachyntis rileyi;Arthropoda;Insecta;Lepidoptera;Cosmopterigidae;FE,LF;58;63;1;FE;;734939
Anatrachyntis simplex;Arthropoda;Insecta;Lepidoptera;Cosmopterigidae;FE,LF;8;13;1;FE;;487094
Ascalenia decolorella;Arthropoda;Insecta;Lepidoptera;Cosmopterigidae;FE,LF;;;;;gap;
Ascalenia echidnias;Arthropoda;Insecta;Lepidoptera;Cosmopterigidae;FE,LF;;;;FE;gap;
Ascalenia vanella;Arthropoda;Insecta;Lepidoptera;Cosmopterigidae;FE,LF;;;;FE;gap;
Ascalenia vanelloides;Arthropoda;Insecta;Lepidoptera;Cosmopterigidae;FE,LF;;;;FE;gap;
Ascalenia viviparella;Arthropoda;Insecta;Lepidoptera;Cosmopterigidae;FE,LF;;;;;gap;
Bifascia nigralbella;Arthropoda;Insecta;Lepidoptera;Cosmopterigidae;FE,LF;;;;FE;gap;
Bifascioides leucomelanella;Arthropoda;Insecta;Lepidoptera;Cosmopterigidae;BOLD,FE,LF;19;21;1;FE;;528309
Calycobathra calligoni;Arthropoda;Insecta;Lepidoptera;Cosmopterigidae;FE,LF;;;;;gap;
Coccidiphila camai;Arthropoda;Insecta;Lepidoptera;Cosmopterigidae;BOLD,LF;3;3;1;;;805226
Coccidiphila danilevskyi;Arthropoda;Insecta;Lepidoptera;Cosmopterigidae;BOLD,FE,LF;4;5;1;FE;;362502
Coccidiphila gerasimovi;Arthropoda;Insecta;Lepidoptera;Cosmopterigidae;BOLD,FE,LF;8;11;2;;;786728
Coccidiphila ledereriella;Arthropoda;Insecta;Lepidoptera;Cosmopterigidae;BOLD,FE,LF;2;4;2;FE;;746892
