species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Apostibes raguae;Arthropoda;Insecta;Lepidoptera;Scythrididae;FE,LF;;;;;gap;
Enolmis abenhumeya;Arthropoda;Insecta;Lepidoptera;Scythrididae;BOLD,FE,LF;3;3;2;FE;;1081452
Enolmis acanthella;Arthropoda;Insecta;Lepidoptera;Scythrididae;BOLD,FE,LF;10;16;2;FE;;362470
Enolmis agenjoi;Arthropoda;Insecta;Lepidoptera;Scythrididae;BOLD,FE,LF;2;3;1;;;363347
Enolmis bimerdella;Arthropoda;Insecta;Lepidoptera;Scythrididae;BOLD,FE,LF;1;1;1;FE;;1081450
Enolmis delicatella;Arthropoda;Insecta;Lepidoptera;Scythrididae;BOLD,FE,LF;1;1;1;FE;;1081453
Enolmis delnoydella;Arthropoda;Insecta;Lepidoptera;Scythrididae;LF;;;;;gap;
Enolmis desidella;Arthropoda;Insecta;Lepidoptera;Scythrididae;FE,LF;;;;FE;gap;
Enolmis nevadensis;Arthropoda;Insecta;Lepidoptera;Scythrididae;FE,LF;;;;;gap;
Enolmis seeboldiella;Arthropoda;Insecta;Lepidoptera;Scythrididae;FE,LF;;;;FE;gap;
Enolmis sierraenevadae;Arthropoda;Insecta;Lepidoptera;Scythrididae;FE,LF;;;;;gap;
Enolmis userai;Arthropoda;Insecta;Lepidoptera;Scythrididae;BOLD,FE,LF;1;1;1;FE;;517070
Enolmis vivesi;Arthropoda;Insecta;Lepidoptera;Scythrididae;FE,LF;;;;;gap;
Episcythris triangulella;Arthropoda;Insecta;Lepidoptera;Scythrididae;FE,LF;;;;FE;gap;
Eretmocera medinella;Arthropoda;Insecta;Lepidoptera;Scythrididae;FE,LF;;;;FE;gap;
Parascythris muelleri;Arthropoda;Insecta;Lepidoptera;Scythrididae;BOLD,FE,LF;14;15;1;FE;;388336
Scythris acarioides;Arthropoda;Insecta;Lepidoptera;Scythrididae;FE,LF;;;;;gap;
Scythris acipenserella;Arthropoda;Insecta;Lepidoptera;Scythrididae;BOLD,FE,LF;1;5;1;;;659371
Scythris adustella;Arthropoda;Insecta;Lepidoptera;Scythrididae;FE,LF;;;;;gap;
Scythris aegrella;Arthropoda;Insecta;Lepidoptera;Scythrididae;FE,LF;1;2;1;;;659421
Scythris aenea;Arthropoda;Insecta;Lepidoptera;Scythrididae;FE,LF;;;;;gap;
Scythris aerariella;Arthropoda;Insecta;Lepidoptera;Scythrididae;BOLD,FE,LF;3;3;1;FE;;894267
Scythris albidella;Arthropoda;Insecta;Lepidoptera;Scythrididae;FE,LF;;;;FE;gap;
Scythris albisaxella;Arthropoda;Insecta;Lepidoptera;Scythrididae;FE,LF;1;4;1;;;659368
Scythris albostriata;Arthropoda;Insecta;Lepidoptera;Scythrididae;BOLD,FE,LF;1;1;1;;;894269
Scythris alseriella;Arthropoda;Insecta;Lepidoptera;Scythrididae;FE,LF;;;;FE;gap;
Scythris ambustella;Arthropoda;Insecta;Lepidoptera;Scythrididae;BOLD,FE,LF;1;1;1;;;941076
Scythris amphonycella;Arthropoda;Insecta;Lepidoptera;Scythrididae;BOLD,FE,LF;10;10;1;FE;;275521
Scythris amplexella;Arthropoda;Insecta;Lepidoptera;Scythrididae;LF;0;8;0;;gap;559105
Scythris andersi;Arthropoda;Insecta;Lepidoptera;Scythrididae;FE,LF;;;;;gap;
Scythris anomaloptera;Arthropoda;Insecta;Lepidoptera;Scythrididae;FE,LF;1;2;1;FE;;659381
Scythris antisymmetrica;Arthropoda;Insecta;Lepidoptera;Scythrididae;BOLD,LF;5;6;1;;;311452
Scythris apicalis;Arthropoda;Insecta;Lepidoptera;Scythrididae;FE,LF;;;;FE;gap;
Scythris apicistrigella;Arthropoda;Insecta;Lepidoptera;Scythrididae;FE,LF;;;;FE;gap;
Scythris arachnodes;Arthropoda;Insecta;Lepidoptera;Scythrididae;BOLD,FE,LF;3;3;1;;;970635
Scythris arenbergeri;Arthropoda;Insecta;Lepidoptera;Scythrididae;FE,LF;;;;;gap;
Scythris arenicola;Arthropoda;Insecta;Lepidoptera;Scythrididae;FE,LF;2;4;1;;;659387
Scythris arerai;Arthropoda;Insecta;Lepidoptera;Scythrididae;FE,LF;;;;;gap;
