species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Bathynomus giganteus;Arthropoda;Malacostraca;Isopoda;Cirolanidae;BOLD;188;191;1;;;27536
Cirolana cranchii;Arthropoda;Malacostraca;Isopoda;Cirolanidae;BOLD,WORMS;0;9;0;WORMS;gap;212359
Cirolana ferruginosa;Arthropoda;Malacostraca;Isopoda;Cirolanidae;WORMS;;;;;gap;
Cirolana perlata;Arthropoda;Malacostraca;Isopoda;Cirolanidae;WORMS;;;;;gap;
Conilera cylindracea;Arthropoda;Malacostraca;Isopoda;Cirolanidae;WORMS;;;;WORMS;gap;
Eurydice affinis;Arthropoda;Malacostraca;Isopoda;Cirolanidae;WORMS;;;;;gap;
Eurydice clymeneia;Arthropoda;Malacostraca;Isopoda;Cirolanidae;WORMS;;;;;gap;
Eurydice czerniavsky;Arthropoda;Malacostraca;Isopoda;Cirolanidae;WORMS;;;;;gap;
Eurydice dollfusi;Arthropoda;Malacostraca;Isopoda;Cirolanidae;WORMS;;;;;gap;
Eurydice grimaldii;Arthropoda;Malacostraca;Isopoda;Cirolanidae;BOLD,WORMS;2;11;1;;;597975
Eurydice inermis;Arthropoda;Malacostraca;Isopoda;Cirolanidae;WORMS;;;;;gap;
Eurydice longispina;Arthropoda;Malacostraca;Isopoda;Cirolanidae;WORMS;;;;;gap;
Eurydice pontica;Arthropoda;Malacostraca;Isopoda;Cirolanidae;WORMS;;;;WORMS;gap;
Eurydice pulchra;Arthropoda;Malacostraca;Isopoda;Cirolanidae;BOLD,WORMS;10;13;1;;;468994
Eurydice racovitzai;Arthropoda;Malacostraca;Isopoda;Cirolanidae;WORMS;;;;;gap;
Eurydice rotundicauda;Arthropoda;Malacostraca;Isopoda;Cirolanidae;WORMS;;;;;gap;
Eurydice spinigera;Arthropoda;Malacostraca;Isopoda;Cirolanidae;BOLD;2;5;1;;;739756
Eurydice truncata;Arthropoda;Malacostraca;Isopoda;Cirolanidae;WORMS;;;;WORMS;gap;
Eurydice valkanovi;Arthropoda;Malacostraca;Isopoda;Cirolanidae;WORMS;;;;;gap;
Faucheria faucheri;Arthropoda;Malacostraca;Isopoda;Cirolanidae;FE;;;;FE;gap;
Metacirolana hanseni;Arthropoda;Malacostraca;Isopoda;Cirolanidae;BOLD,WORMS;2;4;0;WORMS;;348686
Natatolana borealis;Arthropoda;Malacostraca;Isopoda;Cirolanidae;BOLD,WORMS;9;12;1;WORMS;;660287
Natatolana caeca;Arthropoda;Malacostraca;Isopoda;Cirolanidae;WORMS;;;;WORMS;gap;
Natatolana gallica;Arthropoda;Malacostraca;Isopoda;Cirolanidae;WORMS;1;1;1;WORMS;;677819
Natatolana imicola;Arthropoda;Malacostraca;Isopoda;Cirolanidae;WORMS;;;;WORMS;gap;
Natatolana neglecta;Arthropoda;Malacostraca;Isopoda;Cirolanidae;BOLD,WORMS;3;3;1;WORMS;;1004897
Saharolana seurati;Arthropoda;Malacostraca;Isopoda;Cirolanidae;WORMS;;;;;gap;
Sphaeromides bureschi;Arthropoda;Malacostraca;Isopoda;Cirolanidae;FE;;;;;gap;
Sphaeromides polateni;Arthropoda;Malacostraca;Isopoda;Cirolanidae;FE;;;;;gap;
Sphaeromides raymondi;Arthropoda;Malacostraca;Isopoda;Cirolanidae;FE;;;;;gap;
Sphaeromides virei;Arthropoda;Malacostraca;Isopoda;Cirolanidae;FE;0;30;0;;gap;171172
Turcolana rhodica;Arthropoda;Malacostraca;Isopoda;Cirolanidae;FE;;;;;gap;
Typhlocirolana margalefi;Arthropoda;Malacostraca;Isopoda;Cirolanidae;FE;;;;;gap;
Typhlocirolana moraguesi;Arthropoda;Malacostraca;Isopoda;Cirolanidae;FE;;;;;gap;
