species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Angeliera phreaticola;Arthropoda;Malacostraca;Isopoda;Microparasellidae;FE;;;;;gap;
Microcharon acherontis;Arthropoda;Malacostraca;Isopoda;Microparasellidae;FE;;;;;gap;
Microcharon agripensis;Arthropoda;Malacostraca;Isopoda;Microparasellidae;FE;;;;;gap;
Microcharon angelicae;Arthropoda;Malacostraca;Isopoda;Microparasellidae;FE;;;;;gap;
Microcharon angelieri;Arthropoda;Malacostraca;Isopoda;Microparasellidae;FE;;;;;gap;
Microcharon antonellae;Arthropoda;Malacostraca;Isopoda;Microparasellidae;FE;;;;;gap;
Microcharon apolloniacus;Arthropoda;Malacostraca;Isopoda;Microparasellidae;FE;;;;;gap;
Microcharon arganoi;Arthropoda;Malacostraca;Isopoda;Microparasellidae;FE;;;;;gap;
Microcharon boui;Arthropoda;Malacostraca;Isopoda;Microparasellidae;FE;;;;;gap;
Microcharon bureschi;Arthropoda;Malacostraca;Isopoda;Microparasellidae;FE;;;;;gap;
Microcharon coineauae;Arthropoda;Malacostraca;Isopoda;Microparasellidae;FE;;;;;gap;
Microcharon comasi;Arthropoda;Malacostraca;Isopoda;Microparasellidae;FE;;;;;gap;
Microcharon doueti;Arthropoda;Malacostraca;Isopoda;Microparasellidae;FE;;;;;gap;
Microcharon eurydices;Arthropoda;Malacostraca;Isopoda;Microparasellidae;FE;;;;;gap;
Microcharon hercegovinensis;Arthropoda;Malacostraca;Isopoda;Microparasellidae;FE;;;;;gap;
Microcharon hispanicus;Arthropoda;Malacostraca;Isopoda;Microparasellidae;FE;;;;;gap;
Microcharon juberthiei;Arthropoda;Malacostraca;Isopoda;Microparasellidae;FE;;;;;gap;
Microcharon latus;Arthropoda;Malacostraca;Isopoda;Microparasellidae;FE;;;;;gap;
Microcharon letiziae;Arthropoda;Malacostraca;Isopoda;Microparasellidae;FE;;;;;gap;
Microcharon longistylus;Arthropoda;Malacostraca;Isopoda;Microparasellidae;FE;;;;;gap;
Microcharon major;Arthropoda;Malacostraca;Isopoda;Microparasellidae;FE;;;;;gap;
Microcharon margalefi;Arthropoda;Malacostraca;Isopoda;Microparasellidae;FE;;;;;gap;
Microcharon marinus;Arthropoda;Malacostraca;Isopoda;Microparasellidae;FE;;;;;gap;
Microcharon meijersae;Arthropoda;Malacostraca;Isopoda;Microparasellidae;FE;;;;;gap;
Microcharon motasi;Arthropoda;Malacostraca;Isopoda;Microparasellidae;FE;;;;;gap;
Microcharon notenboomi;Arthropoda;Malacostraca;Isopoda;Microparasellidae;FE;;;;;gap;
Microcharon nuragicus;Arthropoda;Malacostraca;Isopoda;Microparasellidae;FE;;;;;gap;
Microcharon oltenicus;Arthropoda;Malacostraca;Isopoda;Microparasellidae;FE;;;;;gap;
Microcharon orghidani;Arthropoda;Malacostraca;Isopoda;Microparasellidae;FE;;;;;gap;
Microcharon orphei;Arthropoda;Malacostraca;Isopoda;Microparasellidae;FE;;;;;gap;
Microcharon othrys;Arthropoda;Malacostraca;Isopoda;Microparasellidae;FE;;;;;gap;
Microcharon phlegentonis;Arthropoda;Malacostraca;Isopoda;Microparasellidae;FE;;;;;gap;
Microcharon profundalis;Arthropoda;Malacostraca;Isopoda;Microparasellidae;FE;;;;;gap;
Microcharon reginae;Arthropoda;Malacostraca;Isopoda;Microparasellidae;FE;;;;;gap;
Microcharon rouchi;Arthropoda;Malacostraca;Isopoda;Microparasellidae;FE;;;;;gap;
Microcharon silverii;Arthropoda;Malacostraca;Isopoda;Microparasellidae;FE;;;;;gap;
Microcharon sisyphus;Arthropoda;Malacostraca;Isopoda;Microparasellidae;FE;;;;;gap;
Microcharon stygius;Arthropoda;Malacostraca;Isopoda;Microparasellidae;FE;;;;WORMS;gap;
Microcharon teissieri;Arthropoda;Malacostraca;Isopoda;Microparasellidae;FE;;;;WORMS;gap;
Microcharon thracicus;Arthropoda;Malacostraca;Isopoda;Microparasellidae;FE;;;;;gap;
Microcharon ullae;Arthropoda;Malacostraca;Isopoda;Microparasellidae;FE;;;;;gap;
Microparasellus hellenicus;Arthropoda;Malacostraca;Isopoda;Microparasellidae;FE;;;;;gap;
Microparasellus puteanus;Arthropoda;Malacostraca;Isopoda;Microparasellidae;FE;;;;;gap;
