species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Austroniscus coronatus;Arthropoda;Malacostraca;Isopoda;Nannoniscidae;WORMS;;;;;gap;
Austroniscus groenlandicus;Arthropoda;Malacostraca;Isopoda;Nannoniscidae;WORMS;;;;WORMS;gap;
Austroniscus norbi;Arthropoda;Malacostraca;Isopoda;Nannoniscidae;WORMS;;;;;gap;
Hebefustis alleni;Arthropoda;Malacostraca;Isopoda;Nannoniscidae;WORMS;;;;;gap;
Nannoniscoides angulatus;Arthropoda;Malacostraca;Isopoda;Nannoniscidae;WORMS;;;;;gap;
Nannoniscus aequiremus;Arthropoda;Malacostraca;Isopoda;Nannoniscidae;WORMS;;;;;gap;
Nannoniscus affinis;Arthropoda;Malacostraca;Isopoda;Nannoniscidae;WORMS;;;;;gap;
Nannoniscus arcticus;Arthropoda;Malacostraca;Isopoda;Nannoniscidae;WORMS;;;;;gap;
Nannoniscus arctoabyssalis;Arthropoda;Malacostraca;Isopoda;Nannoniscidae;WORMS;;;;;gap;
Nannoniscus laticeps;Arthropoda;Malacostraca;Isopoda;Nannoniscidae;WORMS;;;;;gap;
Nannoniscus oblongus;Arthropoda;Malacostraca;Isopoda;Nannoniscidae;BOLD,WORMS;2;9;0;;;770559
Nannoniscus plebejus;Arthropoda;Malacostraca;Isopoda;Nannoniscidae;WORMS;;;;;gap;
Nannoniscus profundus;Arthropoda;Malacostraca;Isopoda;Nannoniscidae;WORMS;;;;;gap;
Nannoniscus reticulatus;Arthropoda;Malacostraca;Isopoda;Nannoniscidae;WORMS;;;;;gap;
Nannoniscus simplex;Arthropoda;Malacostraca;Isopoda;Nannoniscidae;WORMS;;;;;gap;
Nannoniscus spinicornis;Arthropoda;Malacostraca;Isopoda;Nannoniscidae;WORMS;;;;;gap;
Nannoniscus teres;Arthropoda;Malacostraca;Isopoda;Nannoniscidae;WORMS;;;;;gap;
Panetela compacta;Arthropoda;Malacostraca;Isopoda;Nannoniscidae;WORMS;;;;;gap;
Rapaniscus crassipes;Arthropoda;Malacostraca;Isopoda;Nannoniscidae;WORMS;;;;WORMS;gap;
Thaumastosoma platycarpus;Arthropoda;Malacostraca;Isopoda;Nannoniscidae;BOLD,WORMS;5;5;2;ITIS;;606672
