species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Anaphiloscia iberica;Arthropoda;Malacostraca;Isopoda;Philosciidae;FE;;;;;gap;
Anaphiloscia sicula;Arthropoda;Malacostraca;Isopoda;Philosciidae;FE;;;;;gap;
Anaphiloscia simoni;Arthropoda;Malacostraca;Isopoda;Philosciidae;FE;;;;;gap;
Anchiphiloscia balssi;Arthropoda;Malacostraca;Isopoda;Philosciidae;FE;;;;FE;gap;
Burmoniscus meeusei;Arthropoda;Malacostraca;Isopoda;Philosciidae;FE;7;10;1;FE;;649795
Chaetophiloscia attica;Arthropoda;Malacostraca;Isopoda;Philosciidae;FE;;;;ITIS;gap;
Chaetophiloscia cellaria;Arthropoda;Malacostraca;Isopoda;Philosciidae;BOLD,FE;2;2;0;FE;;1056643
Chaetophiloscia elongata;Arthropoda;Malacostraca;Isopoda;Philosciidae;BOLD,FE;12;13;1;FE;;936107
Chaetophiloscia glandulifera;Arthropoda;Malacostraca;Isopoda;Philosciidae;FE;;;;;gap;
Chaetophiloscia gravosensis;Arthropoda;Malacostraca;Isopoda;Philosciidae;FE;;;;FE;gap;
Chaetophiloscia hastata;Arthropoda;Malacostraca;Isopoda;Philosciidae;FE;;;;;gap;
Chaetophiloscia lagoi;Arthropoda;Malacostraca;Isopoda;Philosciidae;FE;;;;FE;gap;
Chaetophiloscia leucadia;Arthropoda;Malacostraca;Isopoda;Philosciidae;FE;;;;;gap;
Chaetophiloscia pallida;Arthropoda;Malacostraca;Isopoda;Philosciidae;FE;;;;;gap;
Chaetophiloscia sicula;Arthropoda;Malacostraca;Isopoda;Philosciidae;BOLD,FE;4;4;0;FE;;1056629
Chaetophiloscia splitensis;Arthropoda;Malacostraca;Isopoda;Philosciidae;FE;;;;;gap;
Chaetophiloscia weisi;Arthropoda;Malacostraca;Isopoda;Philosciidae;FE;;;;;gap;
Ctenoscia dorsalis;Arthropoda;Malacostraca;Isopoda;Philosciidae;FE;;;;FE;gap;
Ctenoscia minima;Arthropoda;Malacostraca;Isopoda;Philosciidae;FE;;;;FE;gap;
Lepidoniscus ericarum;Arthropoda;Malacostraca;Isopoda;Philosciidae;FE;;;;;gap;
Lepidoniscus germanicus;Arthropoda;Malacostraca;Isopoda;Philosciidae;FE;;;;FE;gap;
Parachaetophiloscia levantina;Arthropoda;Malacostraca;Isopoda;Philosciidae;FE;;;;;gap;
Philoscia affinis;Arthropoda;Malacostraca;Isopoda;Philosciidae;BOLD,FE,iNat;10;10;5;;;376069
Philoscia anienana;Arthropoda;Malacostraca;Isopoda;Philosciidae;FE;;;;;gap;
Philoscia dalmatica;Arthropoda;Malacostraca;Isopoda;Philosciidae;FE;;;;;gap;
Philoscia molisia;Arthropoda;Malacostraca;Isopoda;Philosciidae;FE;;;;;gap;
Philoscia muscorum;Arthropoda;Malacostraca;Isopoda;Philosciidae;BOLD,FE,iNat;401;415;2;FE;;251436
Philoscia pannonica;Arthropoda;Malacostraca;Isopoda;Philosciidae;FE;;;;;gap;
Philoscia univittata;Arthropoda;Malacostraca;Isopoda;Philosciidae;FE;;;;;gap;
Tiroloscia apenninorum;Arthropoda;Malacostraca;Isopoda;Philosciidae;FE;;;;FE;gap;
Tiroloscia corsica;Arthropoda;Malacostraca;Isopoda;Philosciidae;FE;;;;FE;gap;
Tiroloscia esterelana;Arthropoda;Malacostraca;Isopoda;Philosciidae;FE;;;;FE;gap;
Tiroloscia exigua;Arthropoda;Malacostraca;Isopoda;Philosciidae;FE;;;;FE;gap;
Tiroloscia macchiae;Arthropoda;Malacostraca;Isopoda;Philosciidae;FE;;;;;gap;
Tiroloscia montana;Arthropoda;Malacostraca;Isopoda;Philosciidae;FE;;;;;gap;
Tiroloscia pyrenaica;Arthropoda;Malacostraca;Isopoda;Philosciidae;FE;;;;FE;gap;
Trichophiloscia murisieri;Arthropoda;Malacostraca;Isopoda;Philosciidae;BOLD;1;1;1;;;936217
Trichophiloscia murisierii;Arthropoda;Malacostraca;Isopoda;Philosciidae;FE;;;;FE;gap;
