species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Buffonellaria divergens;Bryozoa;Gymnolaemata;Cheilostomatida;Celleporidae;WORMS;;;;WORMS;gap;
Buskea billardi;Bryozoa;Gymnolaemata;Cheilostomatida;Celleporidae;WORMS;;;;WORMS;gap;
Buskea dichotoma;Bryozoa;Gymnolaemata;Cheilostomatida;Celleporidae;WORMS;;;;WORMS;gap;
Buskea nitida;Bryozoa;Gymnolaemata;Cheilostomatida;Celleporidae;WORMS;;;;WORMS;gap;
Cellepora pumicosa;Bryozoa;Gymnolaemata;Cheilostomatida;Celleporidae;BOLD,WORMS;3;6;0;;;1077504
Celleporina caliciformis;Bryozoa;Gymnolaemata;Cheilostomatida;Celleporidae;BOLD;0;3;0;WORMS;gap;1077502
Celleporina caminata;Bryozoa;Gymnolaemata;Cheilostomatida;Celleporidae;WORMS;;;;WORMS;gap;
Celleporina canariensis;Bryozoa;Gymnolaemata;Cheilostomatida;Celleporidae;WORMS;;;;;gap;
Celleporina costazii;Bryozoa;Gymnolaemata;Cheilostomatida;Celleporidae;BOLD;0;1;0;WORMS;gap;785433
Celleporina decipiens;Bryozoa;Gymnolaemata;Cheilostomatida;Celleporidae;BOLD,WORMS;0;1;0;;gap;785439
Celleporina lucida;Bryozoa;Gymnolaemata;Cheilostomatida;Celleporidae;WORMS;;;;WORMS;gap;
Celleporina pygmaea;Bryozoa;Gymnolaemata;Cheilostomatida;Celleporidae;WORMS;;;;WORMS;gap;
Celleporina surcularis;Bryozoa;Gymnolaemata;Cheilostomatida;Celleporidae;WORMS;;;;WORMS;gap;
Celleporina tubulosa;Bryozoa;Gymnolaemata;Cheilostomatida;Celleporidae;WORMS;;;;WORMS;gap;
Celleporina ventricosa;Bryozoa;Gymnolaemata;Cheilostomatida;Celleporidae;WORMS;2;3;0;WORMS;;808575
Lagenipora lepralioides;Bryozoa;Gymnolaemata;Cheilostomatida;Celleporidae;WORMS;1;1;1;WORMS;;977181
Omalosecosa ramulosa;Bryozoa;Gymnolaemata;Cheilostomatida;Celleporidae;BOLD,WORMS;1;4;0;WORMS;;406734
Palmicellaria aviculifera;Bryozoa;Gymnolaemata;Cheilostomatida;Celleporidae;WORMS;;;;;gap;
Palmicellaria elegans;Bryozoa;Gymnolaemata;Cheilostomatida;Celleporidae;WORMS;;;;;gap;
Turbicellepora avicularis;Bryozoa;Gymnolaemata;Cheilostomatida;Celleporidae;BOLD,WORMS;2;8;1;WORMS;;737697
Turbicellepora boreale;Bryozoa;Gymnolaemata;Cheilostomatida;Celleporidae;WORMS;;;;;gap;
Turbicellepora camera;Bryozoa;Gymnolaemata;Cheilostomatida;Celleporidae;WORMS;;;;;gap;
Turbicellepora canaliculata;Bryozoa;Gymnolaemata;Cheilostomatida;Celleporidae;WORMS;;;;WORMS;gap;
Turbicellepora cantabra;Bryozoa;Gymnolaemata;Cheilostomatida;Celleporidae;WORMS;;;;WORMS;gap;
Turbicellepora coronopus;Bryozoa;Gymnolaemata;Cheilostomatida;Celleporidae;WORMS;;;;WORMS;gap;
Turbicellepora coronopusoida;Bryozoa;Gymnolaemata;Cheilostomatida;Celleporidae;WORMS;;;;WORMS;gap;
Turbicellepora crenulata;Bryozoa;Gymnolaemata;Cheilostomatida;Celleporidae;WORMS;;;;;gap;
Turbicellepora magnicostata;Bryozoa;Gymnolaemata;Cheilostomatida;Celleporidae;WORMS;;;;WORMS;gap;
Turbicellepora nodulosa;Bryozoa;Gymnolaemata;Cheilostomatida;Celleporidae;WORMS;;;;WORMS;gap;
Turbicellepora smitti;Bryozoa;Gymnolaemata;Cheilostomatida;Celleporidae;WORMS;;;;WORMS;gap;
Turbicellepora torquata;Bryozoa;Gymnolaemata;Cheilostomatida;Celleporidae;WORMS;;;;;gap;
Turbicellepora tubigera;Bryozoa;Gymnolaemata;Cheilostomatida;Celleporidae;WORMS;;;;WORMS;gap;
