species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Barbantus curvifrons;Chordata;Actinopterygii;Alepocephaliformes;Platytroctidae;BOLD,WORMS;10;11;1;WORMS;;141127
Holtbyrnia anomala;Chordata;Actinopterygii;Alepocephaliformes;Platytroctidae;BOLD,WORMS;11;14;2;;;59470
Holtbyrnia macrops;Chordata;Actinopterygii;Alepocephaliformes;Platytroctidae;BOLD,WORMS;7;7;1;;;59471
Maulisia argipalla;Chordata;Actinopterygii;Alepocephaliformes;Platytroctidae;BOLD,WORMS;5;5;1;;;70938
Maulisia mauli;Chordata;Actinopterygii;Alepocephaliformes;Platytroctidae;WORMS;;;;;gap;
Maulisia microlepis;Chordata;Actinopterygii;Alepocephaliformes;Platytroctidae;BOLD,WORMS;10;12;1;;;70924
Mentodus rostratus;Chordata;Actinopterygii;Alepocephaliformes;Platytroctidae;WORMS;;;;WORMS;gap;
Normichthys operosus;Chordata;Actinopterygii;Alepocephaliformes;Platytroctidae;BOLD,WORMS;14;16;1;WORMS;;70965
Platytroctes apus;Chordata;Actinopterygii;Alepocephaliformes;Platytroctidae;WORMS;;;;WORMS;gap;
Platytroctes mirus;Chordata;Actinopterygii;Alepocephaliformes;Platytroctidae;WORMS;;;;WORMS;gap;
Sagamichthys schnakenbecki;Chordata;Actinopterygii;Alepocephaliformes;Platytroctidae;BOLD,WORMS;4;5;1;WORMS;;659182
Searsia koefoedi;Chordata;Actinopterygii;Alepocephaliformes;Platytroctidae;BOLD,WORMS;11;11;3;WORMS;;70943
