species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Anomopera ingolfiana;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;WORMS;;;;;gap;
Asajirus arcticus;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;WORMS;;;;WORMS;gap;
Asajirus eunuchus;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;WORMS;;;;;gap;
Asajirus ledanoisi;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;WORMS;;;;WORMS;gap;
Eugyra adriatica;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;WORMS;;;;;gap;
Eugyra arenosa;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;WORMS;;;;WORMS;gap;
Eugyra pedunculata;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;WORMS;;;;;gap;
Gamaster dakarensis;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;WORMS;;;;;gap;
Minipera papillosa;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;WORMS;;;;;gap;
Minipera pedunculata;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;WORMS;;;;;gap;
Molgula amesophleba;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;WORMS;;;;WORMS;gap;
Molgula appendiculata;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;WORMS;;;;WORMS;gap;
Molgula bleizi;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;WORMS;;;;WORMS;gap;
Molgula caminae;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;WORMS;;;;WORMS;gap;
Molgula celtica;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;WORMS;;;;;gap;
Molgula citrina;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;BOLD,WORMS;3;6;0;WORMS;;943979
Molgula complanata;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;WORMS;;;;WORMS;gap;
Molgula crustosa;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;WORMS;;;;;gap;
Molgula dextrocarpa;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;WORMS;;;;;gap;
Molgula euprocta;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;WORMS;;;;WORMS;gap;
Molgula helleri;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;WORMS;;;;;gap;
Molgula herdmani;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;WORMS;;;;;gap;
Molgula hirta;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;WORMS;;;;;gap;
Molgula impura;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;WORMS;;;;;gap;
Molgula kiaeri;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;WORMS;;;;WORMS;gap;
Molgula kolaensis;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;WORMS;;;;;gap;
Molgula manhattensis;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;BOLD,WORMS;66;122;1;WORMS;;505893
Molgula mira;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;WORMS;;;;;gap;
Molgula occidentalis;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;WORMS;6;11;0;WORMS;;714184
Molgula occulta;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;WORMS;;;;WORMS;gap;
Molgula oculata;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;WORMS;1;5;1;WORMS;;406732
Molgula plana;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;WORMS;;;;;gap;
Molgula platybranchia;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;WORMS;;;;;gap;
Molgula pumila;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;WORMS;;;;;gap;
Molgula retortiformis;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;BOLD,WORMS;0;6;0;WORMS;gap;714506
Molgula rheophila;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;WORMS;;;;WORMS;gap;
Molgula romeri;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;WORMS;;;;WORMS;gap;
Molgula roulei;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;WORMS;;;;;gap;
Molgula satyrus;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;WORMS;;;;;gap;
Molgula simplex;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;WORMS;;;;;gap;
Molgula siphonalis;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;WORMS;;;;WORMS;gap;
Molgula siphonata;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;WORMS;;;;;gap;
Molgula socialis;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;WORMS;3;5;1;;;488220
Molgula solenata;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;WORMS;;;;;gap;
Molgula tethys;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;WORMS;;;;;gap;
Molgula tubifera;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;WORMS;;;;;gap;
Molgula vara;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;WORMS;;;;;gap;
Molguloides crenatum;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;WORMS;;;;;gap;
Oligotrema lyra;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;WORMS;;;;WORMS;gap;
Oligotrema sandersi;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;WORMS;;;;WORMS;gap;
Oligotrema unigonas;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;WORMS;;;;WORMS;gap;
Pareugyrioides chardyi;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;WORMS;;;;;gap;
Protomolgula bythia;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;WORMS;;;;;gap;
Protomolgula triangularis;Chordata;Ascidiacea;Stolidobranchia;Molgulidae;WORMS;;;;;gap;
