species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Actites hypoleucos;Chordata;Aves;Charadriiformes;Scolopacidae;FE;;;;FE;gap;
Actites macularia;Chordata;Aves;Charadriiformes;Scolopacidae;FE;;;;FE;gap;
Actitis hypoleucos;Chordata;Aves;Charadriiformes;Scolopacidae;BOLD,iNat;43;49;1;WORMS;;10211
Arenaria interpres;Chordata;Aves;Charadriiformes;Scolopacidae;BOLD,FE,iNat;29;38;1;WORMS;;19980
Bartramia longicauda;Chordata;Aves;Charadriiformes;Scolopacidae;FE;8;17;1;ITIS;;10225
Calidris acuminata;Chordata;Aves;Charadriiformes;Scolopacidae;FE,iNat;7;9;1;FE;;52528
Calidris alba;Chordata;Aves;Charadriiformes;Scolopacidae;BOLD,FE,iNat;28;31;1;WORMS;;10169
Calidris alpina;Chordata;Aves;Charadriiformes;Scolopacidae;BOLD,FE,iNat;68;88;1;WORMS;;10166
Calidris bairdii;Chordata;Aves;Charadriiformes;Scolopacidae;FE;12;18;1;FE;;10170
Calidris canutus;Chordata;Aves;Charadriiformes;Scolopacidae;BOLD,FE,iNat;35;39;1;WORMS;;10172
Calidris falcinellus;Chordata;Aves;Charadriiformes;Scolopacidae;BOLD;12;15;1;WORMS;;745444
Calidris ferruginea;Chordata;Aves;Charadriiformes;Scolopacidae;BOLD,FE,iNat;15;18;1;WORMS;;52520
Calidris fuscicollis;Chordata;Aves;Charadriiformes;Scolopacidae;FE;23;28;1;WORMS;;10171
Calidris himantopus;Chordata;Aves;Charadriiformes;Scolopacidae;FE,iNat;8;12;1;WORMS;;10174
Calidris maritima;Chordata;Aves;Charadriiformes;Scolopacidae;BOLD,FE,iNat;9;18;1;WORMS;;10177
Calidris mauri;Chordata;Aves;Charadriiformes;Scolopacidae;FE;31;37;1;FE;;10173
Calidris melanotos;Chordata;Aves;Charadriiformes;Scolopacidae;FE,iNat;28;36;1;WORMS;;10167
Calidris minuta;Chordata;Aves;Charadriiformes;Scolopacidae;BOLD,FE,iNat;21;22;1;WORMS;;52521
Calidris minutilla;Chordata;Aves;Charadriiformes;Scolopacidae;FE;31;38;1;WORMS;;10168
Calidris pusilla;Chordata;Aves;Charadriiformes;Scolopacidae;FE,iNat;20;25;1;WORMS;;10175
Calidris ruficollis;Chordata;Aves;Charadriiformes;Scolopacidae;FE;16;24;1;WORMS;;52525
Calidris subminuta;Chordata;Aves;Charadriiformes;Scolopacidae;FE,iNat;7;11;1;FE;;52522
Calidris temminckii;Chordata;Aves;Charadriiformes;Scolopacidae;BOLD,FE,iNat;6;9;1;WORMS;;52523
Calidris tenuirostris;Chordata;Aves;Charadriiformes;Scolopacidae;FE;16;16;1;FE;;52524
Gallinago gallinago;Chordata;Aves;Charadriiformes;Scolopacidae;BOLD,FE,iNat;49;70;1;ITIS;;52536
Gallinago media;Chordata;Aves;Charadriiformes;Scolopacidae;BOLD,FE,iNat;6;13;1;WORMS;;52541
Gallinago stenura;Chordata;Aves;Charadriiformes;Scolopacidae;FE;15;16;1;FE;;52538
Limicola falcinellus;Chordata;Aves;Charadriiformes;Scolopacidae;FE,iNat;;;;FE;gap;
Limnodromus griseus;Chordata;Aves;Charadriiformes;Scolopacidae;FE;18;23;1;FE;;19982
Limnodromus scolopaceus;Chordata;Aves;Charadriiformes;Scolopacidae;FE,iNat;8;12;1;FE;;12332
Limosa haemastica;Chordata;Aves;Charadriiformes;Scolopacidae;FE;11;14;1;ITIS;;12337
Limosa lapponica;Chordata;Aves;Charadriiformes;Scolopacidae;BOLD,FE,iNat;43;47;1;WORMS;;17437
Limosa limosa;Chordata;Aves;Charadriiformes;Scolopacidae;BOLD,FE,iNat;85;89;2;FE;;19986
Lymnocryptes minimus;Chordata;Aves;Charadriiformes;Scolopacidae;BOLD,FE,iNat;17;19;1;FE;;52540
Numenius arquata;Chordata;Aves;Charadriiformes;Scolopacidae;BOLD,FE,iNat;35;39;1;WORMS;;52512
Numenius borealis;Chordata;Aves;Charadriiformes;Scolopacidae;FE;;;;FE;gap;
Numenius hudsonicus;Chordata;Aves;Charadriiformes;Scolopacidae;FE;;;;;gap;
Numenius minutus;Chordata;Aves;Charadriiformes;Scolopacidae;FE;5;5;1;;;71664
Numenius phaeopus;Chordata;Aves;Charadriiformes;Scolopacidae;BOLD,FE,iNat;37;47;2;WORMS;;10227
Numenius tenuirostris;Chordata;Aves;Charadriiformes;Scolopacidae;FE;2;2;1;;;113639
Phalaropus fulicarius;Chordata;Aves;Charadriiformes;Scolopacidae;BOLD,FE,WORMS,iNat;13;20;1;WORMS;;19994
Phalaropus lobatus;Chordata;Aves;Charadriiformes;Scolopacidae;BOLD,FE,WORMS,iNat;43;51;1;WORMS;;17450
Phalaropus tricolor;Chordata;Aves;Charadriiformes;Scolopacidae;FE,iNat;8;13;1;WORMS;;12370
Philomachus pugnax;Chordata;Aves;Charadriiformes;Scolopacidae;BOLD,FE,iNat;;;;WORMS;gap;745445
Scolopax rusticola;Chordata;Aves;Charadriiformes;Scolopacidae;BOLD,FE,iNat;50;52;1;;;52542
Tringa brevipes;Chordata;Aves;Charadriiformes;Scolopacidae;FE;12;12;1;WORMS;;113647
Tringa erythropus;Chordata;Aves;Charadriiformes;Scolopacidae;BOLD,FE,iNat;13;15;1;WORMS;;52529
Tringa flavipes;Chordata;Aves;Charadriiformes;Scolopacidae;FE,iNat;17;21;1;WORMS;;10219
Tringa glareola;Chordata;Aves;Charadriiformes;Scolopacidae;BOLD,FE,iNat;32;34;1;;;10218
Tringa melanoleuca;Chordata;Aves;Charadriiformes;Scolopacidae;FE;21;27;1;WORMS;;10220
Tringa nebularia;Chordata;Aves;Charadriiformes;Scolopacidae;BOLD,FE,iNat;20;23;1;WORMS;;10217
Tringa ochropus;Chordata;Aves;Charadriiformes;Scolopacidae;BOLD,FE,iNat;23;23;1;;;52532
Tringa semipalmata;Chordata;Aves;Charadriiformes;Scolopacidae;FE;24;33;1;WORMS;;113650
Tringa solitaria;Chordata;Aves;Charadriiformes;Scolopacidae;FE;19;26;2;;;24457
Tringa stagnatilis;Chordata;Aves;Charadriiformes;Scolopacidae;FE,iNat;8;8;1;WORMS;;52531
Tringa totanus;Chordata;Aves;Charadriiformes;Scolopacidae;BOLD,FE,iNat;36;43;1;WORMS;;52530
Tryngites subruficollis;Chordata;Aves;Charadriiformes;Scolopacidae;FE,iNat;;;;FE;gap;
Xenus cinereus;Chordata;Aves;Charadriiformes;Scolopacidae;FE,iNat;22;23;1;WORMS;;52535
