species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Haminella solitaria;Mollusca;Gastropoda;Cephalaspidea;Haminoeidae;BOLD;0;1;0;WORMS;gap;1130351;599541
Haminoea elegans;Mollusca;Gastropoda;Cephalaspidea;Haminoeidae;WORMS;;;;WORMS;gap;
Haminoea exigua;Mollusca;Gastropoda;Cephalaspidea;Haminoeidae;WORMS;;;;WORMS;gap;
Haminoea fusari;Mollusca;Gastropoda;Cephalaspidea;Haminoeidae;WORMS;;;;WORMS;gap;
Haminoea hydatis;Mollusca;Gastropoda;Cephalaspidea;Haminoeidae;WORMS;;;;WORMS;gap;
Haminoea japonica;Mollusca;Gastropoda;Cephalaspidea;Haminoeidae;BOLD;187;187;5;;;651360
Haminoea navicula;Mollusca;Gastropoda;Cephalaspidea;Haminoeidae;WORMS;;;;WORMS;gap;
Haminoea orbignyana;Mollusca;Gastropoda;Cephalaspidea;Haminoeidae;WORMS;;;;WORMS;gap;
Haminoea orteai;Mollusca;Gastropoda;Cephalaspidea;Haminoeidae;BOLD,WORMS;15;17;2;;;655962
Haminoea templadoi;Mollusca;Gastropoda;Cephalaspidea;Haminoeidae;WORMS;;;;;gap;
Weinkauffia turgidula;Mollusca;Gastropoda;Cephalaspidea;Haminoeidae;WORMS;;;;WORMS;gap;
