species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Nerita peloronta;Mollusca;Gastropoda;Cycloneritida;Neritidae;BOLD;8;10;1;WORMS;;164239
Nerita sanguinolenta;Mollusca;Gastropoda;Cycloneritida;Neritidae;WORMS;4;4;1;WORMS;;164236
Nerita tessellata;Mollusca;Gastropoda;Cycloneritida;Neritidae;BOLD;9;10;2;WORMS;;164232
Nerita versicolor;Mollusca;Gastropoda;Cycloneritida;Neritidae;BOLD;10;12;1;WORMS;;164227
Neritina pulligera;Mollusca;Gastropoda;Cycloneritida;Neritidae;BOLD;11;11;1;WORMS;;164219
Smaragdia souverbiana;Mollusca;Gastropoda;Cycloneritida;Neritidae;WORMS;2;2;1;WORMS;;456496
Smaragdia viridis;Mollusca;Gastropoda;Cycloneritida;Neritidae;WORMS;1;2;0;WORMS;;955667
Theodoxus anatolicus;Mollusca;Gastropoda;Cycloneritida;Neritidae;FE;10;10;3;FE;;81264
Theodoxus baeticus;Mollusca;Gastropoda;Cycloneritida;Neritidae;BOLD,FE;8;8;1;FE;;81931
Theodoxus brauneri;Mollusca;Gastropoda;Cycloneritida;Neritidae;FE;;;;;gap;
Theodoxus danasteri;Mollusca;Gastropoda;Cycloneritida;Neritidae;BOLD;4;4;0;;;1126627
Theodoxus danubialis;Mollusca;Gastropoda;Cycloneritida;Neritidae;BOLD,FE,iNat;44;46;3;FE;;80499
Theodoxus elongatulus;Mollusca;Gastropoda;Cycloneritida;Neritidae;BOLD,FE;2;2;1;FE;;988273
Theodoxus euxinus;Mollusca;Gastropoda;Cycloneritida;Neritidae;FE;;;;FE;gap;
Theodoxus fluviatilis;Mollusca;Gastropoda;Cycloneritida;Neritidae;BOLD,FE,iNat;106;133;2;FE;;30948
Theodoxus guadianensis;Mollusca;Gastropoda;Cycloneritida;Neritidae;BOLD;2;2;1;;;974045
Theodoxus hispalensis;Mollusca;Gastropoda;Cycloneritida;Neritidae;FE;;;;FE;gap;
Theodoxus jordani;Mollusca;Gastropoda;Cycloneritida;Neritidae;BOLD;38;38;3;WORMS;;80500
Theodoxus meridionalis;Mollusca;Gastropoda;Cycloneritida;Neritidae;BOLD,FE;26;26;3;FE;;83236
Theodoxus pallasi;Mollusca;Gastropoda;Cycloneritida;Neritidae;FE;;;;FE;gap;
Theodoxus prevostianus;Mollusca;Gastropoda;Cycloneritida;Neritidae;BOLD,FE;14;14;2;FE;;80501
Theodoxus saulcyi;Mollusca;Gastropoda;Cycloneritida;Neritidae;FE;;;;FE;gap;
Theodoxus subterrelictus;Mollusca;Gastropoda;Cycloneritida;Neritidae;FE;;;;;gap;
Theodoxus transversalis;Mollusca;Gastropoda;Cycloneritida;Neritidae;BOLD,FE;12;12;1;FE;;81932
Theodoxus valentinus;Mollusca;Gastropoda;Cycloneritida;Neritidae;FE;2;2;1;FE;;82611
Theodoxus varius;Mollusca;Gastropoda;Cycloneritida;Neritidae;FE;;;;FE;gap;
Theodoxus velascoi;Mollusca;Gastropoda;Cycloneritida;Neritidae;BOLD;3;3;1;;;82612
