species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Catascopia terebra;Mollusca;Gastropoda;Hygrophila;Lymnaeidae;FE;;;;FE;gap;
Galba cubensis;Mollusca;Gastropoda;Hygrophila;Lymnaeidae;BOLD;50;50;5;ITIS;;507757
Galba schirazensis;Mollusca;Gastropoda;Hygrophila;Lymnaeidae;BOLD;31;33;1;;;795445
Galba truncatula;Mollusca;Gastropoda;Hygrophila;Lymnaeidae;BOLD,FE,iNat;201;233;10;ITIS;;106301
Lymnaea fuscus;Mollusca;Gastropoda;Hygrophila;Lymnaeidae;BOLD;1;1;1;;;1142955
Lymnaea glutinosa;Mollusca;Gastropoda;Hygrophila;Lymnaeidae;BOLD;3;3;1;;;659607
Lymnaea palustris;Mollusca;Gastropoda;Hygrophila;Lymnaeidae;BOLD;3;4;2;;;659597
Lymnaea raphidia;Mollusca;Gastropoda;Hygrophila;Lymnaeidae;FE;;;;FE;gap;
Lymnaea stagnalis;Mollusca;Gastropoda;Hygrophila;Lymnaeidae;BOLD,FE,iNat;218;232;20;WORMS;;30727
Myxas glutinosa;Mollusca;Gastropoda;Hygrophila;Lymnaeidae;BOLD,FE;2;4;1;FE;;106299
Omphiscola glabra;Mollusca;Gastropoda;Hygrophila;Lymnaeidae;BOLD,FE;7;10;1;FE;;106297
Omphiscola reticulata;Mollusca;Gastropoda;Hygrophila;Lymnaeidae;FE;;;;FE;gap;
Orientogalba viridis;Mollusca;Gastropoda;Hygrophila;Lymnaeidae;BOLD;2;2;1;;;961223
Pseudosuccinea columella;Mollusca;Gastropoda;Hygrophila;Lymnaeidae;BOLD,FE;143;149;6;ITIS;;30730
Radix ampla;Mollusca;Gastropoda;Hygrophila;Lymnaeidae;BOLD,FE;19;19;1;FE;;200708
Radix auricularia;Mollusca;Gastropoda;Hygrophila;Lymnaeidae;BOLD,FE,iNat;292;300;12;ITIS;;200712
Radix balthica;Mollusca;Gastropoda;Hygrophila;Lymnaeidae;BOLD,FE;1324;1445;12;FE;;303075
Radix labiata;Mollusca;Gastropoda;Hygrophila;Lymnaeidae;BOLD,FE;70;76;7;FE;;200711
Radix lagotis;Mollusca;Gastropoda;Hygrophila;Lymnaeidae;BOLD,FE;7;7;1;FE;;795921
Radix lilli;Mollusca;Gastropoda;Hygrophila;Lymnaeidae;FE;;;;;gap;
Radix parapsilia;Mollusca;Gastropoda;Hygrophila;Lymnaeidae;FE;;;;;gap;
Radix peregra;Mollusca;Gastropoda;Hygrophila;Lymnaeidae;BOLD;2;4;1;ITIS;;545410;730189;30732
Radix pinteri;Mollusca;Gastropoda;Hygrophila;Lymnaeidae;BOLD,FE;0;3;0;;gap;106303
Radix relicta;Mollusca;Gastropoda;Hygrophila;Lymnaeidae;BOLD,FE;8;11;4;;;106302
Radix skutaris;Mollusca;Gastropoda;Hygrophila;Lymnaeidae;FE;;;;;gap;
Stagnicola corvus;Mollusca;Gastropoda;Hygrophila;Lymnaeidae;BOLD,FE;14;17;3;FE;;312071
Stagnicola fuscus;Mollusca;Gastropoda;Hygrophila;Lymnaeidae;BOLD,FE;12;15;3;FE;;312059
Stagnicola montenegrinus;Mollusca;Gastropoda;Hygrophila;Lymnaeidae;BOLD,FE;21;24;3;;;683772
Stagnicola palustris;Mollusca;Gastropoda;Hygrophila;Lymnaeidae;BOLD,FE;37;42;4;FE;;312021
Stagnicola turricula;Mollusca;Gastropoda;Hygrophila;Lymnaeidae;BOLD,FE;4;5;1;FE;;660399
