species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Anomalisipho verkruezeni;Mollusca;Gastropoda;Neogastropoda;Buccinidae;BOLD;2;2;2;WORMS;;740200
Beringius bogasoni;Mollusca;Gastropoda;Neogastropoda;Buccinidae;BOLD;0;1;0;;gap;993915
Beringius turtoni;Mollusca;Gastropoda;Neogastropoda;Buccinidae;BOLD,WORMS;4;5;2;WORMS;;740211
Buccinum abyssorum;Mollusca;Gastropoda;Neogastropoda;Buccinidae;WORMS;;;;;gap;
Buccinum angulosum;Mollusca;Gastropoda;Neogastropoda;Buccinidae;BOLD,WORMS;3;4;1;WORMS;;740216
Buccinum belcheri;Mollusca;Gastropoda;Neogastropoda;Buccinidae;WORMS;;;;WORMS;gap;
Buccinum ciliatum;Mollusca;Gastropoda;Neogastropoda;Buccinidae;WORMS;1;3;1;WORMS;;740187
Buccinum conoideum;Mollusca;Gastropoda;Neogastropoda;Buccinidae;WORMS;;;;;gap;
Buccinum cyaneum;Mollusca;Gastropoda;Neogastropoda;Buccinidae;WORMS;3;4;2;WORMS;;740206
Buccinum glaciale;Mollusca;Gastropoda;Neogastropoda;Buccinidae;BOLD,WORMS;4;11;1;WORMS;;151138
Buccinum humphreysianum;Mollusca;Gastropoda;Neogastropoda;Buccinidae;BOLD,WORMS;0;4;0;WORMS;gap;673980
Buccinum hydrophanum;Mollusca;Gastropoda;Neogastropoda;Buccinidae;BOLD,WORMS;8;21;4;;;160587
Buccinum kjennerudae;Mollusca;Gastropoda;Neogastropoda;Buccinidae;WORMS;;;;WORMS;gap;
Buccinum maltzani;Mollusca;Gastropoda;Neogastropoda;Buccinidae;WORMS;0;4;0;;gap;607164
Buccinum micropoma;Mollusca;Gastropoda;Neogastropoda;Buccinidae;WORMS;0;2;0;;gap;740209
Buccinum nivale;Mollusca;Gastropoda;Neogastropoda;Buccinidae;WORMS;0;1;0;WORMS;gap;740210
Buccinum oblitum;Mollusca;Gastropoda;Neogastropoda;Buccinidae;WORMS;;;;WORMS;gap;
Buccinum parvulum;Mollusca;Gastropoda;Neogastropoda;Buccinidae;WORMS;;;;;gap;
Buccinum polaris;Mollusca;Gastropoda;Neogastropoda;Buccinidae;BOLD;;;;ITIS;gap;740183
Buccinum pulchellum;Mollusca;Gastropoda;Neogastropoda;Buccinidae;WORMS;;;;;gap;
Buccinum scalariforme;Mollusca;Gastropoda;Neogastropoda;Buccinidae;BOLD,WORMS;2;4;2;ITIS;;740208
Buccinum superangulare;Mollusca;Gastropoda;Neogastropoda;Buccinidae;WORMS;;;;;gap;
Buccinum tumidulum;Mollusca;Gastropoda;Neogastropoda;Buccinidae;WORMS;;;;;gap;
Buccinum undatum;Mollusca;Gastropoda;Neogastropoda;Buccinidae;BOLD,WORMS,iNat;286;434;3;WORMS;;152293
Colus gracilis;Mollusca;Gastropoda;Neogastropoda;Buccinidae;BOLD,WORMS;16;26;2;WORMS;;402901;428287
Colus holboelli;Mollusca;Gastropoda;Neogastropoda;Buccinidae;BOLD,WORMS;2;6;1;WORMS;;740212
Colus islandicus;Mollusca;Gastropoda;Neogastropoda;Buccinidae;BOLD,WORMS;2;9;2;WORMS;;642799
Colus jeffreysianus;Mollusca;Gastropoda;Neogastropoda;Buccinidae;BOLD,WORMS;0;2;0;WORMS;gap;673973
Colus kroyeri;Mollusca;Gastropoda;Neogastropoda;Buccinidae;BOLD;1;2;1;ITIS;;887468;151123
Colus sabini;Mollusca;Gastropoda;Neogastropoda;Buccinidae;BOLD,WORMS;0;6;0;WORMS;gap;740198
Colus turgidulus;Mollusca;Gastropoda;Neogastropoda;Buccinidae;BOLD,WORMS;1;2;1;WORMS;;740199
Euthria cornea;Mollusca;Gastropoda;Neogastropoda;Buccinidae;BOLD;3;3;2;WORMS;;993920;277365
Liomesus ovum;Mollusca;Gastropoda;Neogastropoda;Buccinidae;BOLD,WORMS;1;1;0;WORMS;;767333
Mohnia abyssorum;Mollusca;Gastropoda;Neogastropoda;Buccinidae;WORMS;;;;WORMS;gap;
Mohnia danielsseni;Mollusca;Gastropoda;Neogastropoda;Buccinidae;WORMS;1;1;1;WORMS;;740203
Mohnia mohni;Mollusca;Gastropoda;Neogastropoda;Buccinidae;WORMS;0;1;0;WORMS;gap;740202
Mohnia parva;Mollusca;Gastropoda;Neogastropoda;Buccinidae;WORMS;;;;WORMS;gap;
Mohnia simplex;Mollusca;Gastropoda;Neogastropoda;Buccinidae;WORMS;;;;WORMS;gap;
Neptunea antiqua;Mollusca;Gastropoda;Neogastropoda;Buccinidae;BOLD,WORMS;15;27;1;WORMS;;402900
Neptunea contraria;Mollusca;Gastropoda;Neogastropoda;Buccinidae;WORMS;;;;WORMS;gap;
Neptunea despecta;Mollusca;Gastropoda;Neogastropoda;Buccinidae;BOLD,WORMS;12;19;2;WORMS;;708832
Troschelia berniciensis;Mollusca;Gastropoda;Neogastropoda;Buccinidae;WORMS;;;;WORMS;gap;
Turrisipho dalli;Mollusca;Gastropoda;Neogastropoda;Buccinidae;BOLD,WORMS;2;2;2;WORMS;;740213
Turrisipho moebii;Mollusca;Gastropoda;Neogastropoda;Buccinidae;BOLD,WORMS;1;2;1;WORMS;;993916
Turrisipho voeringi;Mollusca;Gastropoda;Neogastropoda;Buccinidae;BOLD,WORMS;3;3;1;WORMS;;893669
Volutopsius norwegicus;Mollusca;Gastropoda;Neogastropoda;Buccinidae;WORMS;1;4;1;WORMS;;740182
