species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Gibberula abyssicola;Mollusca;Gastropoda;Neogastropoda;Cystiscidae;WORMS;;;;WORMS;gap;
Gibberula caelata;Mollusca;Gastropoda;Neogastropoda;Cystiscidae;WORMS;;;;WORMS;gap;
Gibberula epigrus;Mollusca;Gastropoda;Neogastropoda;Cystiscidae;WORMS;;;;WORMS;gap;
Gibberula jansseni;Mollusca;Gastropoda;Neogastropoda;Cystiscidae;WORMS;;;;;gap;
Gibberula lazaroi;Mollusca;Gastropoda;Neogastropoda;Cystiscidae;WORMS;;;;;gap;
Gibberula miliaria;Mollusca;Gastropoda;Neogastropoda;Cystiscidae;WORMS;;;;WORMS;gap;
Gibberula oryza;Mollusca;Gastropoda;Neogastropoda;Cystiscidae;WORMS;1;1;1;WORMS;;950721
Gibberula philippii;Mollusca;Gastropoda;Neogastropoda;Cystiscidae;WORMS;;;;WORMS;gap;
Gibberula recondita;Mollusca;Gastropoda;Neogastropoda;Cystiscidae;WORMS;;;;WORMS;gap;
Gibberula secreta;Mollusca;Gastropoda;Neogastropoda;Cystiscidae;WORMS;;;;;gap;
Gibberula turgidula;Mollusca;Gastropoda;Neogastropoda;Cystiscidae;WORMS;;;;;gap;
Gibberula vignali;Mollusca;Gastropoda;Neogastropoda;Cystiscidae;WORMS;;;;WORMS;gap;
Persicula canaryensis;Mollusca;Gastropoda;Neogastropoda;Cystiscidae;WORMS;;;;WORMS;gap;
