species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Aliceia aenigmatica;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;;gap;
Bathybela nudator;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;WORMS;gap;
Bathybela tenelluna;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;WORMS;gap;
Clathromangelia granum;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;BOLD,WORMS;1;1;1;WORMS;;988359
Clathromangelia loiselieri;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;BOLD,WORMS;1;1;1;WORMS;;988360
Clathromangelia strigilata;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;;gap;
Daphnella corimbensis;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;BOLD;1;1;1;WORMS;;988361
Famelica catharinae;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;WORMS;gap;
Famelica mirmidina;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;WORMS;gap;
Famelica monoceros;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;WORMS;gap;
Famelica monotropis;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;WORMS;gap;
Gymnobela abyssorum;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;WORMS;gap;
Gymnobela aquilarum;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;WORMS;gap;
Gymnobela chyta;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;WORMS;gap;
Gymnobela emertoni;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;WORMS;gap;
Gymnobela engonia;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;WORMS;gap;
Gymnobela frielei;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;WORMS;gap;
Gymnobela fulvotincta;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;WORMS;gap;
Gymnobela lamyi;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;WORMS;gap;
Gymnobela leptoglypta;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;WORMS;gap;
Gymnobela phyxanor;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;WORMS;gap;
Gymnobela subaraneosa;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;WORMS;gap;
Lusitanops blanchardi;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;WORMS;gap;
Lusitanops bullioides;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;WORMS;gap;
Lusitanops cingulatus;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;WORMS;gap;
Lusitanops expansus;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;WORMS;gap;
Lusitanops hyaloides;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;WORMS;gap;
Lusitanops lusitanicus;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;WORMS;gap;
Lusitanops macrapex;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;;gap;
Lusitanops sigmoideus;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;WORMS;gap;
Neopleurotomoides callembryon;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;WORMS;gap;
Neopleurotomoides distinctus;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;WORMS;gap;
Nepotilla amoena;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;WORMS;gap;
Phymorhynchus alberti;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;WORMS;gap;
Phymorhynchus chevreuxi;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;WORMS;gap;
Phymorhynchus sulciferus;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;WORMS;gap;
Pleurotomella anceyi;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;WORMS;gap;
Pleurotomella benedicti;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;;gap;
Pleurotomella bureaui;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;WORMS;gap;
Pleurotomella coelorhaphe;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;;gap;
Pleurotomella demosia;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;WORMS;gap;
Pleurotomella eurybrocha;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;WORMS;gap;
Pleurotomella gibbera;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;;gap;
Pleurotomella obesa;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;;gap;
Pleurotomella packardii;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;;gap;
Pleurotomella sandersoni;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;;gap;
Raphitoma aequalis;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;BOLD;6;6;1;;;667545
Raphitoma alternans;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;WORMS;gap;
Raphitoma arnoldi;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;WORMS;gap;
Raphitoma bicolor;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;BOLD;1;1;1;WORMS;;988368
Raphitoma bracteata;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;WORMS;gap;
Raphitoma concinna;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;BOLD;7;8;1;;;667546
Raphitoma corbis;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;WORMS;gap;
Raphitoma cordieri;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;BOLD,WORMS;2;3;1;WORMS;;988366
Raphitoma densa;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;BOLD,WORMS;6;6;1;WORMS;;988365
Raphitoma horrida;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;BOLD,WORMS;10;10;1;WORMS;;988363
Raphitoma laviae;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;BOLD;40;45;1;WORMS;;988364
Raphitoma leufroyi;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;BOLD;7;8;1;;;708841
Raphitoma linearis;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;BOLD;4;5;1;;;642801
Raphitoma maculosa;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;BOLD;1;1;1;;;988370
Raphitoma mirabilis;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;WORMS;gap;
Raphitoma nivea;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;WORMS;gap;
Raphitoma papillosa;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;WORMS;gap;
Raphitoma petanii;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;BOLD;6;7;1;;;999574
Raphitoma philberti;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;BOLD,WORMS;20;20;2;WORMS;;988362
Raphitoma pruinosa;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;WORMS;gap;
Raphitoma pseudohystrix;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;BOLD,WORMS;1;1;1;WORMS;;988369
Raphitoma pupoides;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;WORMS;gap;
Raphitoma purpurea;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;BOLD,WORMS;7;7;1;WORMS;;988367
Raphitoma stanici;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;BOLD;2;2;1;;;999575
Taranis borealis;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;;gap;
Taranis laevisculpta;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;;gap;
Taranis moerchii;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;;gap;
Teretia teres;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;BOLD,WORMS;3;6;1;WORMS;;642798
Teretiopsis thaumastopsis;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;WORMS;gap;
Thesbia nana;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;BOLD,WORMS;1;3;0;;;948247
Theta chariessa;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;WORMS;gap;
Theta lyronuclea;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;WORMS;gap;
Theta vayssierei;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;WORMS;gap;
Xanthodaphne bruneri;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;WORMS;gap;
Xanthodaphne charcotiana;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;WORMS;;;;;gap;
