species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Callumbonella suturalis;Mollusca;Gastropoda;Trochida;Trochidae;WORMS;;;;WORMS;gap;
Clanculus berthelotii;Mollusca;Gastropoda;Trochida;Trochidae;WORMS;;;;WORMS;gap;
Clanculus corallinus;Mollusca;Gastropoda;Trochida;Trochidae;WORMS;;;;WORMS;gap;
Clanculus cruciatus;Mollusca;Gastropoda;Trochida;Trochidae;BOLD,WORMS;2;3;1;WORMS;;82985
Clanculus jussieui;Mollusca;Gastropoda;Trochida;Trochidae;BOLD,WORMS;4;4;3;WORMS;;345413
Clelandella miliaris;Mollusca;Gastropoda;Trochida;Trochidae;BOLD,WORMS;3;6;1;WORMS;;673972
Gibbula adansonii;Mollusca;Gastropoda;Trochida;Trochidae;BOLD;21;22;3;;;458853
Gibbula albida;Mollusca;Gastropoda;Trochida;Trochidae;BOLD;1;1;1;;;904125
Gibbula ardens;Mollusca;Gastropoda;Trochida;Trochidae;BOLD,WORMS;13;15;1;WORMS;;458854
Gibbula candei;Mollusca;Gastropoda;Trochida;Trochidae;BOLD,WORMS;1;1;0;WORMS;;968380
Gibbula delgadensis;Mollusca;Gastropoda;Trochida;Trochidae;BOLD,WORMS;3;9;1;;;361881
Gibbula deversa;Mollusca;Gastropoda;Trochida;Trochidae;WORMS;;;;;gap;
Gibbula divaricata;Mollusca;Gastropoda;Trochida;Trochidae;BOLD;19;20;2;;;345412
Gibbula drepanensis;Mollusca;Gastropoda;Trochida;Trochidae;WORMS;;;;WORMS;gap;
Gibbula fanulum;Mollusca;Gastropoda;Trochida;Trochidae;BOLD,WORMS;2;2;1;WORMS;;458858
Gibbula guttadauri;Mollusca;Gastropoda;Trochida;Trochidae;WORMS;;;;WORMS;gap;
Gibbula guttadauroi;Mollusca;Gastropoda;Trochida;Trochidae;BOLD;1;1;1;;;493463
Gibbula magus;Mollusca;Gastropoda;Trochida;Trochidae;BOLD,WORMS;3;7;2;WORMS;;345417
Gibbula nebulosa;Mollusca;Gastropoda;Trochida;Trochidae;BOLD;6;6;1;;;458857
Gibbula nivosa;Mollusca;Gastropoda;Trochida;Trochidae;BOLD;9;9;1;;;458852
Gibbula pennanti;Mollusca;Gastropoda;Trochida;Trochidae;BOLD;7;11;2;;;265637
Gibbula philberti;Mollusca;Gastropoda;Trochida;Trochidae;BOLD,WORMS;3;3;1;WORMS;;493462
Gibbula racketti;Mollusca;Gastropoda;Trochida;Trochidae;BOLD;4;5;1;;;345414
Gibbula rarilineata;Mollusca;Gastropoda;Trochida;Trochidae;BOLD;24;24;2;;;345411
Gibbula spratti;Mollusca;Gastropoda;Trochida;Trochidae;BOLD;1;2;1;;;458859
Gibbula spurca;Mollusca;Gastropoda;Trochida;Trochidae;BOLD,WORMS;0;1;0;WORMS;gap;600174
Gibbula tingitana;Mollusca;Gastropoda;Trochida;Trochidae;BOLD;0;1;0;;gap;904126
Gibbula turbinoides;Mollusca;Gastropoda;Trochida;Trochidae;BOLD,WORMS;27;27;2;WORMS;;458855
Gibbula varia;Mollusca;Gastropoda;Trochida;Trochidae;BOLD;30;31;4;;;345415
Gibbula vimontiae;Mollusca;Gastropoda;Trochida;Trochidae;WORMS;;;;WORMS;gap;
