species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Crassolaimus bipapillatus;Nematoda;Adenophorea;Desmodorida;Microlaimidae;WORMS;;;;;gap;
Crassolaimus conicaudatus;Nematoda;Adenophorea;Desmodorida;Microlaimidae;WORMS;;;;;gap;
Ixonema sordidum;Nematoda;Adenophorea;Desmodorida;Microlaimidae;WORMS;;;;;gap;
Microlaimus acinaces;Nematoda;Adenophorea;Desmodorida;Microlaimidae;WORMS;;;;;gap;
Microlaimus acuticaudatus;Nematoda;Adenophorea;Desmodorida;Microlaimidae;WORMS;;;;;gap;
Microlaimus arenicola;Nematoda;Adenophorea;Desmodorida;Microlaimidae;WORMS;;;;;gap;
Microlaimus borealis;Nematoda;Adenophorea;Desmodorida;Microlaimidae;WORMS;;;;;gap;
Microlaimus compridus;Nematoda;Adenophorea;Desmodorida;Microlaimidae;WORMS;;;;WORMS;gap;
Microlaimus conothelis;Nematoda;Adenophorea;Desmodorida;Microlaimidae;WORMS;;;;WORMS;gap;
Microlaimus criminalis;Nematoda;Adenophorea;Desmodorida;Microlaimidae;WORMS;;;;;gap;
Microlaimus cyatholaimoides;Nematoda;Adenophorea;Desmodorida;Microlaimidae;WORMS;;;;;gap;
Microlaimus donsi;Nematoda;Adenophorea;Desmodorida;Microlaimidae;WORMS;;;;;gap;
Microlaimus globiceps;Nematoda;Adenophorea;Desmodorida;Microlaimidae;FE,WORMS;;;;;gap;
Microlaimus honestoides;Nematoda;Adenophorea;Desmodorida;Microlaimidae;FE,WORMS;;;;;gap;
Microlaimus honestus;Nematoda;Adenophorea;Desmodorida;Microlaimidae;WORMS;;;;WORMS;gap;
Microlaimus inermis;Nematoda;Adenophorea;Desmodorida;Microlaimidae;WORMS;;;;;gap;
Microlaimus limnophilus;Nematoda;Adenophorea;Desmodorida;Microlaimidae;FE;;;;;gap;
Microlaimus macrocirculus;Nematoda;Adenophorea;Desmodorida;Microlaimidae;WORMS;;;;;gap;
Microlaimus marinus;Nematoda;Adenophorea;Desmodorida;Microlaimidae;WORMS;;;;WORMS;gap;
Microlaimus microseta;Nematoda;Adenophorea;Desmodorida;Microlaimidae;WORMS;;;;WORMS;gap;
Microlaimus monstrosus;Nematoda;Adenophorea;Desmodorida;Microlaimidae;WORMS;;;;WORMS;gap;
Microlaimus ostracion;Nematoda;Adenophorea;Desmodorida;Microlaimidae;WORMS;;;;;gap;
Microlaimus parahonestus;Nematoda;Adenophorea;Desmodorida;Microlaimidae;WORMS;;;;WORMS;gap;
Microlaimus punctulatus;Nematoda;Adenophorea;Desmodorida;Microlaimidae;WORMS;;;;;gap;
Microlaimus pygmaeus;Nematoda;Adenophorea;Desmodorida;Microlaimidae;FE,WORMS;;;;;gap;
Microlaimus robustidens;Nematoda;Adenophorea;Desmodorida;Microlaimidae;WORMS;;;;;gap;
Microlaimus tenuicollis;Nematoda;Adenophorea;Desmodorida;Microlaimidae;WORMS;;;;WORMS;gap;
Microlaimus tenuispiculum;Nematoda;Adenophorea;Desmodorida;Microlaimidae;WORMS;;;;WORMS;gap;
Microlaimus texianus;Nematoda;Adenophorea;Desmodorida;Microlaimidae;WORMS;;;;;gap;
Microlaimus undulatus;Nematoda;Adenophorea;Desmodorida;Microlaimidae;WORMS;;;;;gap;
Microlaimus zosterae;Nematoda;Adenophorea;Desmodorida;Microlaimidae;WORMS;;;;;gap;
