species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Chitwoodiellus gracilis;Nematoda;Adenophorea;Dorylaimida;Tylencholaimidae;FE;;;;;gap;
Chitwoodiellus heynsi;Nematoda;Adenophorea;Dorylaimida;Tylencholaimidae;FE;;;;FE;gap;
Chitwoodiellus longispiculus;Nematoda;Adenophorea;Dorylaimida;Tylencholaimidae;FE;;;;;gap;
Chitwoodiellus parafuscus;Nematoda;Adenophorea;Dorylaimida;Tylencholaimidae;FE;;;;FE;gap;
Chitwoodius retezatensis;Nematoda;Adenophorea;Dorylaimida;Tylencholaimidae;FE;;;;;gap;
Discomyctus cephalatus;Nematoda;Adenophorea;Dorylaimida;Tylencholaimidae;FE;;;;;gap;
Meylonema buchneri;Nematoda;Adenophorea;Dorylaimida;Tylencholaimidae;FE;;;;FE;gap;
Tantunema aquaticum;Nematoda;Adenophorea;Dorylaimida;Tylencholaimidae;FE;;;;;gap;
Tylenchodoroides parietinus;Nematoda;Adenophorea;Dorylaimida;Tylencholaimidae;FE;;;;FE;gap;
Tylencholaimus airolensis;Nematoda;Adenophorea;Dorylaimida;Tylencholaimidae;FE;;;;;gap;
Tylencholaimus chathami;Nematoda;Adenophorea;Dorylaimida;Tylencholaimidae;FE;;;;;gap;
Tylencholaimus congestus;Nematoda;Adenophorea;Dorylaimida;Tylencholaimidae;FE;;;;;gap;
Tylencholaimus conicaudatus;Nematoda;Adenophorea;Dorylaimida;Tylencholaimidae;FE;;;;;gap;
Tylencholaimus constrictus;Nematoda;Adenophorea;Dorylaimida;Tylencholaimidae;FE;;;;;gap;
Tylencholaimus crassus;Nematoda;Adenophorea;Dorylaimida;Tylencholaimidae;FE;;;;;gap;
Tylencholaimus decens;Nematoda;Adenophorea;Dorylaimida;Tylencholaimidae;FE;;;;;gap;
Tylencholaimus formosus;Nematoda;Adenophorea;Dorylaimida;Tylencholaimidae;FE;;;;;gap;
Tylencholaimus ibericus;Nematoda;Adenophorea;Dorylaimida;Tylencholaimidae;FE;;;;;gap;
Tylencholaimus intermedius;Nematoda;Adenophorea;Dorylaimida;Tylencholaimidae;FE;;;;;gap;
Tylencholaimus longicaudatus;Nematoda;Adenophorea;Dorylaimida;Tylencholaimidae;FE;;;;;gap;
Tylencholaimus maritus;Nematoda;Adenophorea;Dorylaimida;Tylencholaimidae;FE;;;;;gap;
Tylencholaimus minimus;Nematoda;Adenophorea;Dorylaimida;Tylencholaimidae;FE;;;;;gap;
Tylencholaimus minutus;Nematoda;Adenophorea;Dorylaimida;Tylencholaimidae;FE;;;;;gap;
Tylencholaimus mirabilis;Nematoda;Adenophorea;Dorylaimida;Tylencholaimidae;FE;;;;FE;gap;
Tylencholaimus mongolicus;Nematoda;Adenophorea;Dorylaimida;Tylencholaimidae;FE;;;;;gap;
Tylencholaimus nanus;Nematoda;Adenophorea;Dorylaimida;Tylencholaimidae;FE;;;;;gap;
Tylencholaimus paradoxus;Nematoda;Adenophorea;Dorylaimida;Tylencholaimidae;FE;;;;;gap;
Tylencholaimus porosus;Nematoda;Adenophorea;Dorylaimida;Tylencholaimidae;FE;;;;;gap;
Tylencholaimus proximus;Nematoda;Adenophorea;Dorylaimida;Tylencholaimidae;FE;;;;;gap;
Tylencholaimus pusillus;Nematoda;Adenophorea;Dorylaimida;Tylencholaimidae;FE;;;;;gap;
Tylencholaimus savaryi;Nematoda;Adenophorea;Dorylaimida;Tylencholaimidae;FE;;;;;gap;
Tylencholaimus stecki;Nematoda;Adenophorea;Dorylaimida;Tylencholaimidae;FE;;;;;gap;
Tylencholaimus teres;Nematoda;Adenophorea;Dorylaimida;Tylencholaimidae;FE;;;;;gap;
Tylencholaimus terrestris;Nematoda;Adenophorea;Dorylaimida;Tylencholaimidae;FE;;;;;gap;
Tylencholaimus vigil;Nematoda;Adenophorea;Dorylaimida;Tylencholaimidae;FE;;;;;gap;
Utahnema tenuidens;Nematoda;Adenophorea;Dorylaimida;Tylencholaimidae;FE;;;;;gap;
Vanderlindia hispanica;Nematoda;Adenophorea;Dorylaimida;Tylencholaimidae;FE;;;;;gap;
Xiphinemella globolabiata;Nematoda;Adenophorea;Dorylaimida;Tylencholaimidae;FE;;;;;gap;
