species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Steinernema affine;Nematoda;Chromadorea;Rhabditida;Steinernematidae;BOLD,FE;4;14;1;FE;;83586
Steinernema apuliae;Nematoda;Chromadorea;Rhabditida;Steinernematidae;BOLD;2;2;1;;;654166
Steinernema arenarium;Nematoda;Chromadorea;Rhabditida;Steinernematidae;FE;2;7;1;FE;;80983
Steinernema bicornutum;Nematoda;Chromadorea;Rhabditida;Steinernematidae;BOLD,FE;2;3;1;;;81676
Steinernema boemarei;Nematoda;Chromadorea;Rhabditida;Steinernematidae;BOLD;1;1;1;;;654167
Steinernema carpocapsae;Nematoda;Chromadorea;Rhabditida;Steinernematidae;FE;18;52;2;FE;;28285
Steinernema feltiae;Nematoda;Chromadorea;Rhabditida;Steinernematidae;BOLD,FE;19;118;3;FE;;80984
Steinernema glaseri;Nematoda;Chromadorea;Rhabditida;Steinernematidae;FE;3;25;1;FE;;81677
Steinernema intermedium;Nematoda;Chromadorea;Rhabditida;Steinernematidae;FE;1;1;1;FE;;83010
Steinernema kraussei;Nematoda;Chromadorea;Rhabditida;Steinernematidae;BOLD,FE;6;16;4;FE;;79993
Steinernema weiseri;Nematoda;Chromadorea;Rhabditida;Steinernematidae;FE;1;2;1;;;654175
