species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Anguina agropyri;Nematoda;Chromadorea;Tylenchida;Anguinidae;FE;;;;;gap;
Anguina agrostis;Nematoda;Chromadorea;Tylenchida;Anguinidae;FE;3;8;1;FE;;897481
Anguina graminis;Nematoda;Chromadorea;Tylenchida;Anguinidae;FE;;;;FE;gap;
Anguina tritici;Nematoda;Chromadorea;Tylenchida;Anguinidae;FE;;;;FE;gap;
Diptenchus indicus;Nematoda;Chromadorea;Tylenchida;Anguinidae;FE;;;;;gap;
Ditylenchus acutatus;Nematoda;Chromadorea;Tylenchida;Anguinidae;FE;;;;;gap;
Ditylenchus brevicauda;Nematoda;Chromadorea;Tylenchida;Anguinidae;FE;;;;FE;gap;
Ditylenchus buckleyi;Nematoda;Chromadorea;Tylenchida;Anguinidae;FE;;;;FE;gap;
Ditylenchus caudatus;Nematoda;Chromadorea;Tylenchida;Anguinidae;FE;;;;;gap;
Ditylenchus clarus;Nematoda;Chromadorea;Tylenchida;Anguinidae;FE;;;;;gap;
Ditylenchus convallariae;Nematoda;Chromadorea;Tylenchida;Anguinidae;FE;;;;;gap;
Ditylenchus cylindricus;Nematoda;Chromadorea;Tylenchida;Anguinidae;FE;;;;FE;gap;
Ditylenchus dauniae;Nematoda;Chromadorea;Tylenchida;Anguinidae;FE;;;;;gap;
Ditylenchus destructor;Nematoda;Chromadorea;Tylenchida;Anguinidae;FE;;;;;gap;
Ditylenchus dipsaci;Nematoda;Chromadorea;Tylenchida;Anguinidae;BOLD,FE;1;57;0;ITIS;;670967
Ditylenchus dipsacoideus;Nematoda;Chromadorea;Tylenchida;Anguinidae;FE;;;;FE;gap;
Ditylenchus elegans;Nematoda;Chromadorea;Tylenchida;Anguinidae;FE;;;;;gap;
Ditylenchus emus;Nematoda;Chromadorea;Tylenchida;Anguinidae;FE;;;;;gap;
Ditylenchus equalis;Nematoda;Chromadorea;Tylenchida;Anguinidae;FE;;;;;gap;
Ditylenchus exilis;Nematoda;Chromadorea;Tylenchida;Anguinidae;FE;;;;;gap;
Ditylenchus filenchulus;Nematoda;Chromadorea;Tylenchida;Anguinidae;FE;;;;;gap;
Ditylenchus filimus;Nematoda;Chromadorea;Tylenchida;Anguinidae;FE;;;;;gap;
Ditylenchus gigas;Nematoda;Chromadorea;Tylenchida;Anguinidae;BOLD;2;4;0;;;670968
Ditylenchus hexaglyphus;Nematoda;Chromadorea;Tylenchida;Anguinidae;FE;;;;FE;gap;
Ditylenchus intermedius;Nematoda;Chromadorea;Tylenchida;Anguinidae;FE;;;;FE;gap;
Ditylenchus longicauda;Nematoda;Chromadorea;Tylenchida;Anguinidae;FE;;;;;gap;
Ditylenchus longimatricalis;Nematoda;Chromadorea;Tylenchida;Anguinidae;FE;;;;FE;gap;
Ditylenchus medicaginis;Nematoda;Chromadorea;Tylenchida;Anguinidae;FE;;;;;gap;
Ditylenchus myceliophagus;Nematoda;Chromadorea;Tylenchida;Anguinidae;FE;;;;;gap;
Ditylenchus nortoni;Nematoda;Chromadorea;Tylenchida;Anguinidae;FE;;;;FE;gap;
Ditylenchus parvus;Nematoda;Chromadorea;Tylenchida;Anguinidae;FE;;;;;gap;
Ditylenchus silvaticus;Nematoda;Chromadorea;Tylenchida;Anguinidae;FE;;;;;gap;
Ditylenchus tenuidens;Nematoda;Chromadorea;Tylenchida;Anguinidae;FE;;;;;gap;
Ditylenchus terricolus;Nematoda;Chromadorea;Tylenchida;Anguinidae;FE;;;;;gap;
Ditylenchus triformis;Nematoda;Chromadorea;Tylenchida;Anguinidae;FE;;;;;gap;
Ditylenchus valveus;Nematoda;Chromadorea;Tylenchida;Anguinidae;FE;;;;;gap;
Ditylenchus virtudesae;Nematoda;Chromadorea;Tylenchida;Anguinidae;FE;;;;;gap;
Nothotylenchus acris;Nematoda;Chromadorea;Tylenchida;Anguinidae;FE;;;;;gap;
Nothotylenchus acutus;Nematoda;Chromadorea;Tylenchida;Anguinidae;FE;;;;;gap;
Nothotylenchus adasi;Nematoda;Chromadorea;Tylenchida;Anguinidae;FE;;;;;gap;
Nothotylenchus affinis;Nematoda;Chromadorea;Tylenchida;Anguinidae;FE;;;;;gap;
Nothotylenchus antricolus;Nematoda;Chromadorea;Tylenchida;Anguinidae;FE;;;;;gap;
Nothotylenchus boroki;Nematoda;Chromadorea;Tylenchida;Anguinidae;FE;;;;;gap;
Nothotylenchus danubialis;Nematoda;Chromadorea;Tylenchida;Anguinidae;FE;;;;;gap;
Nothotylenchus drymocolus;Nematoda;Chromadorea;Tylenchida;Anguinidae;FE;;;;;gap;
