species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Bursaphelenchus chitwoodi;Nematoda;Secernentea;Aphelenchida;Parasitaphelenchidae;FE;;;;;gap;
Bursaphelenchus crenati;Nematoda;Secernentea;Aphelenchida;Parasitaphelenchidae;FE;;;;;gap;
Bursaphelenchus cryphali;Nematoda;Secernentea;Aphelenchida;Parasitaphelenchidae;FE;;;;;gap;
Bursaphelenchus eidmanni;Nematoda;Secernentea;Aphelenchida;Parasitaphelenchidae;FE;;;;;gap;
Bursaphelenchus eremus;Nematoda;Secernentea;Aphelenchida;Parasitaphelenchidae;FE;;;;;gap;
Bursaphelenchus eucarpus;Nematoda;Secernentea;Aphelenchida;Parasitaphelenchidae;FE;;;;;gap;
Bursaphelenchus glochis;Nematoda;Secernentea;Aphelenchida;Parasitaphelenchidae;FE;;;;;gap;
Bursaphelenchus idius;Nematoda;Secernentea;Aphelenchida;Parasitaphelenchidae;FE;;;;;gap;
Bursaphelenchus incurvus;Nematoda;Secernentea;Aphelenchida;Parasitaphelenchidae;FE;;;;;gap;
Bursaphelenchus leoni;Nematoda;Secernentea;Aphelenchida;Parasitaphelenchidae;FE;;;;;gap;
Bursaphelenchus naujaci;Nematoda;Secernentea;Aphelenchida;Parasitaphelenchidae;FE;;;;;gap;
Bursaphelenchus nuesslini;Nematoda;Secernentea;Aphelenchida;Parasitaphelenchidae;FE;;;;;gap;
Bursaphelenchus pinasteri;Nematoda;Secernentea;Aphelenchida;Parasitaphelenchidae;FE;;;;;gap;
Bursaphelenchus piniperdae;Nematoda;Secernentea;Aphelenchida;Parasitaphelenchidae;FE;;;;;gap;
Bursaphelenchus pinophilus;Nematoda;Secernentea;Aphelenchida;Parasitaphelenchidae;FE;;;;;gap;
Bursaphelenchus ratzeburgi;Nematoda;Secernentea;Aphelenchida;Parasitaphelenchidae;FE;;;;;gap;
Bursaphelenchus sachsi;Nematoda;Secernentea;Aphelenchida;Parasitaphelenchidae;FE;;;;;gap;
Bursaphelenchus silvestris;Nematoda;Secernentea;Aphelenchida;Parasitaphelenchidae;FE;;;;FE;gap;
Bursaphelenchus steineri;Nematoda;Secernentea;Aphelenchida;Parasitaphelenchidae;FE;;;;;gap;
Bursaphelenchus sychnus;Nematoda;Secernentea;Aphelenchida;Parasitaphelenchidae;FE;;;;;gap;
Bursaphelenchus teratospicularis;Nematoda;Secernentea;Aphelenchida;Parasitaphelenchidae;FE;;;;;gap;
Bursaphelenchus xerokarterus;Nematoda;Secernentea;Aphelenchida;Parasitaphelenchidae;FE;;;;;gap;
Bursaphelenchus xylophilus;Nematoda;Secernentea;Aphelenchida;Parasitaphelenchidae;FE;98;135;2;FE;;27551
Parasitaphelenchus acuminati;Nematoda;Secernentea;Aphelenchida;Parasitaphelenchidae;FE;;;;;gap;
Parasitaphelenchus oldhami;Nematoda;Secernentea;Aphelenchida;Parasitaphelenchidae;FE;;;;;gap;
Parasitaphelenchus poligraphi;Nematoda;Secernentea;Aphelenchida;Parasitaphelenchidae;FE;;;;;gap;
Parasitaphelenchus sexdentati;Nematoda;Secernentea;Aphelenchida;Parasitaphelenchidae;FE;;;;;gap;
Parasitaphelenchus strongylocephalus;Nematoda;Secernentea;Aphelenchida;Parasitaphelenchidae;FE;;;;;gap;
Parasitaphelenchus uncinatus;Nematoda;Secernentea;Aphelenchida;Parasitaphelenchidae;FE;;;;FE;gap;
