species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Deropristis hispida;Platyhelminthes;Trematoda;Plagiorchiida;Acanthocolpidae;FE,WORMS;;;;WORMS;gap;
Deropristis inflata;Platyhelminthes;Trematoda;Plagiorchiida;Acanthocolpidae;FE,WORMS;;;;WORMS;gap;
Lepidauchen stenostoma;Platyhelminthes;Trematoda;Plagiorchiida;Acanthocolpidae;WORMS;;;;;gap;
Neophasis anarrhichae;Platyhelminthes;Trematoda;Plagiorchiida;Acanthocolpidae;WORMS;;;;WORMS;gap;
Pleorchis polyorchis;Platyhelminthes;Trematoda;Plagiorchiida;Acanthocolpidae;WORMS;;;;WORMS;gap;
Skrjabinopsolus semiarmatus;Platyhelminthes;Trematoda;Plagiorchiida;Acanthocolpidae;FE,WORMS;;;;WORMS;gap;
Spinoplagioporus minutus;Platyhelminthes;Trematoda;Plagiorchiida;Acanthocolpidae;WORMS;;;;WORMS;gap;
Stephanostomum baccatum;Platyhelminthes;Trematoda;Plagiorchiida;Acanthocolpidae;WORMS;;;;WORMS;gap;
Stephanostomum bicoronatum;Platyhelminthes;Trematoda;Plagiorchiida;Acanthocolpidae;WORMS;;;;WORMS;gap;
Stephanostomum caducum;Platyhelminthes;Trematoda;Plagiorchiida;Acanthocolpidae;WORMS;;;;WORMS;gap;
Stephanostomum cesticillus;Platyhelminthes;Trematoda;Plagiorchiida;Acanthocolpidae;WORMS;;;;WORMS;gap;
Stephanostomum gaidropsari;Platyhelminthes;Trematoda;Plagiorchiida;Acanthocolpidae;WORMS;;;;;gap;
Stephanostomum lebourae;Platyhelminthes;Trematoda;Plagiorchiida;Acanthocolpidae;WORMS;;;;;gap;
Stephanostomum lophii;Platyhelminthes;Trematoda;Plagiorchiida;Acanthocolpidae;WORMS;;;;;gap;
Stephanostomum minutum;Platyhelminthes;Trematoda;Plagiorchiida;Acanthocolpidae;WORMS;;;;WORMS;gap;
Stephanostomum pristis;Platyhelminthes;Trematoda;Plagiorchiida;Acanthocolpidae;WORMS;;;;WORMS;gap;
Stephanostomum rhombispinosum;Platyhelminthes;Trematoda;Plagiorchiida;Acanthocolpidae;WORMS;;;;WORMS;gap;
Stephanostomum triglae;Platyhelminthes;Trematoda;Plagiorchiida;Acanthocolpidae;WORMS;;;;WORMS;gap;
Tormopsolus orientalis;Platyhelminthes;Trematoda;Plagiorchiida;Acanthocolpidae;WORMS;;;;WORMS;gap;
Tormopsolus osculatus;Platyhelminthes;Trematoda;Plagiorchiida;Acanthocolpidae;WORMS;;;;WORMS;gap;
