species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Acanthatrium sogandaresi;Platyhelminthes;Trematoda;Plagiorchiida;Lecithodendriidae;FE;;;;;gap;
Acanthatrium tatrense;Platyhelminthes;Trematoda;Plagiorchiida;Lecithodendriidae;FE;;;;;gap;
Allassogonoporus amphoraeformis;Platyhelminthes;Trematoda;Plagiorchiida;Lecithodendriidae;FE;;;;FE;gap;
Brandesia turgida;Platyhelminthes;Trematoda;Plagiorchiida;Lecithodendriidae;FE;;;;FE;gap;
Candidotrema loossi;Platyhelminthes;Trematoda;Plagiorchiida;Lecithodendriidae;FE;;;;FE;gap;
Gyrabascus brevigastrus;Platyhelminthes;Trematoda;Plagiorchiida;Lecithodendriidae;FE;;;;;gap;
Laterotrema arenula;Platyhelminthes;Trematoda;Plagiorchiida;Lecithodendriidae;FE;;;;FE;gap;
Laterotrema paspalevi;Platyhelminthes;Trematoda;Plagiorchiida;Lecithodendriidae;FE;;;;;gap;
Laterotrema vexans;Platyhelminthes;Trematoda;Plagiorchiida;Lecithodendriidae;FE;;;;FE;gap;
Lecithodendrium dryomi;Platyhelminthes;Trematoda;Plagiorchiida;Lecithodendriidae;FE;;;;;gap;
Lecithodendrium granulosum;Platyhelminthes;Trematoda;Plagiorchiida;Lecithodendriidae;FE;;;;FE;gap;
Lecithodendrium kuzyakini;Platyhelminthes;Trematoda;Plagiorchiida;Lecithodendriidae;FE;;;;;gap;
Lecithodendrium linstowi;Platyhelminthes;Trematoda;Plagiorchiida;Lecithodendriidae;FE;;;;;gap;
Lecithodendrium macrostomum;Platyhelminthes;Trematoda;Plagiorchiida;Lecithodendriidae;FE;;;;FE;gap;
Lecithodendrium moedlingeri;Platyhelminthes;Trematoda;Plagiorchiida;Lecithodendriidae;FE;;;;FE;gap;
Lecithodendrium mystacini;Platyhelminthes;Trematoda;Plagiorchiida;Lecithodendriidae;FE;;;;;gap;
