species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Acanthella acuta;Porifera;Demospongiae;Bubarida;Dictyonellidae;WORMS;2;3;1;;;170721
Acanthella annulata;Porifera;Demospongiae;Bubarida;Dictyonellidae;WORMS;;;;;gap;
Acanthella mastophora;Porifera;Demospongiae;Bubarida;Dictyonellidae;WORMS;;;;WORMS;gap;
Acanthella multiformis;Porifera;Demospongiae;Bubarida;Dictyonellidae;WORMS;;;;WORMS;gap;
Dictyonella alonsoi;Porifera;Demospongiae;Bubarida;Dictyonellidae;WORMS;;;;;gap;
Dictyonella incisa;Porifera;Demospongiae;Bubarida;Dictyonellidae;WORMS;4;7;2;WORMS;;240681
Dictyonella madeirensis;Porifera;Demospongiae;Bubarida;Dictyonellidae;WORMS;;;;WORMS;gap;
Dictyonella marsilii;Porifera;Demospongiae;Bubarida;Dictyonellidae;WORMS;;;;WORMS;gap;
Dictyonella obtusa;Porifera;Demospongiae;Bubarida;Dictyonellidae;WORMS;;;;WORMS;gap;
Dictyonella pelligera;Porifera;Demospongiae;Bubarida;Dictyonellidae;WORMS;;;;WORMS;gap;
Tethyspira spinosa;Porifera;Demospongiae;Bubarida;Dictyonellidae;WORMS;2;3;1;WORMS;;240718
