species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Chalinula limbata;Porifera;Demospongiae;Haplosclerida;Chalinidae;WORMS;;;;WORMS;gap;
Chalinula loosanoffi;Porifera;Demospongiae;Haplosclerida;Chalinidae;WORMS;;;;WORMS;gap;
Chalinula nigra;Porifera;Demospongiae;Haplosclerida;Chalinidae;WORMS;;;;;gap;
Chalinula renieroides;Porifera;Demospongiae;Haplosclerida;Chalinidae;WORMS;;;;WORMS;gap;
Cladocroce fibrosa;Porifera;Demospongiae;Haplosclerida;Chalinidae;WORMS;;;;WORMS;gap;
Cladocroce spathiformis;Porifera;Demospongiae;Haplosclerida;Chalinidae;WORMS;;;;;gap;
Cladocroce ventilabrum;Porifera;Demospongiae;Haplosclerida;Chalinidae;BOLD,WORMS;3;3;1;WORMS;;241309;240582
Dendroxea adumbrata;Porifera;Demospongiae;Haplosclerida;Chalinidae;WORMS;;;;;gap;
Dendroxea lenis;Porifera;Demospongiae;Haplosclerida;Chalinidae;WORMS;;;;WORMS;gap;
Haliclona (Gellius) binaria;Porifera;Demospongiae;Haplosclerida;Chalinidae;WORMS;;;;WORMS;gap;
Haliclona (Gellius) bioxeata;Porifera;Demospongiae;Haplosclerida;Chalinidae;WORMS;;;;WORMS;gap;
Haliclona (Gellius) cucurbitiformis;Porifera;Demospongiae;Haplosclerida;Chalinidae;WORMS;;;;WORMS;gap;
Haliclona (Gellius) dubia;Porifera;Demospongiae;Haplosclerida;Chalinidae;WORMS;;;;WORMS;gap;
Haliclona (Gellius) fibulata;Porifera;Demospongiae;Haplosclerida;Chalinidae;BOLD,WORMS;;;;WORMS;gap;166442;241414
Haliclona (Gellius) glacialis;Porifera;Demospongiae;Haplosclerida;Chalinidae;WORMS;;;;WORMS;gap;
Haliclona (Gellius) laevis;Porifera;Demospongiae;Haplosclerida;Chalinidae;WORMS;;;;WORMS;gap;
Haliclona (Gellius) laurentina;Porifera;Demospongiae;Haplosclerida;Chalinidae;WORMS;;;;WORMS;gap;
Haliclona (Gellius) laxa;Porifera;Demospongiae;Haplosclerida;Chalinidae;WORMS;;;;WORMS;gap;
Haliclona (Gellius) marismedi;Porifera;Demospongiae;Haplosclerida;Chalinidae;WORMS;;;;WORMS;gap;
Haliclona (Gellius) microsigma;Porifera;Demospongiae;Haplosclerida;Chalinidae;WORMS;;;;WORMS;gap;
Haliclona (Gellius) microtoxa;Porifera;Demospongiae;Haplosclerida;Chalinidae;WORMS;;;;WORMS;gap;
Haliclona (Gellius) microxifera;Porifera;Demospongiae;Haplosclerida;Chalinidae;WORMS;;;;WORMS;gap;
Haliclona (Gellius) primitiva;Porifera;Demospongiae;Haplosclerida;Chalinidae;WORMS;;;;WORMS;gap;
Haliclona (Gellius) proxima;Porifera;Demospongiae;Haplosclerida;Chalinidae;WORMS;;;;WORMS;gap;
Haliclona (Gellius) raphidiophora;Porifera;Demospongiae;Haplosclerida;Chalinidae;WORMS;;;;WORMS;gap;
