species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Anuraeopsis fissa;Rotifera;Monogononta;Ploima;Brachionidae;FE;3;5;0;ITIS;;342398
Anuraeopsis miracleae;Rotifera;Monogononta;Ploima;Brachionidae;FE;;;;;gap;
Brachionus angularis;Rotifera;Monogononta;Ploima;Brachionidae;BOLD,FE;27;72;4;ITIS;;281626
Brachionus bidentatus;Rotifera;Monogononta;Ploima;Brachionidae;FE;6;11;1;FE;;284174
Brachionus budapestinensis;Rotifera;Monogononta;Ploima;Brachionidae;BOLD,FE;4;4;2;FE;;852570
Brachionus calyciflorus;Rotifera;Monogononta;Ploima;Brachionidae;BOLD,FE;1283;1315;20;ITIS;;25428
Brachionus dimidiatus;Rotifera;Monogononta;Ploima;Brachionidae;BOLD,FE;2;2;1;FE;;199495
Brachionus diversicornis;Rotifera;Monogononta;Ploima;Brachionidae;FE;15;16;1;FE;;746966
Brachionus falcatus;Rotifera;Monogononta;Ploima;Brachionidae;FE;5;11;2;;;284163
Brachionus ibericus;Rotifera;Monogononta;Ploima;Brachionidae;BOLD,FE;28;28;7;;;25433
Brachionus leydigi;Rotifera;Monogononta;Ploima;Brachionidae;BOLD,FE;8;9;4;;;852571
Brachionus plicatilis;Rotifera;Monogononta;Ploima;Brachionidae;BOLD,WORMS;495;501;35;ITIS;;24695
Brachionus quadridentatus;Rotifera;Monogononta;Ploima;Brachionidae;BOLD,FE;191;202;18;ITIS;;25429
Brachionus rotundiformis;Rotifera;Monogononta;Ploima;Brachionidae;BOLD;18;18;2;;;25430
Brachionus rubens;Rotifera;Monogononta;Ploima;Brachionidae;BOLD;9;10;2;;;342395
Brachionus sessilis;Rotifera;Monogononta;Ploima;Brachionidae;BOLD;8;8;2;;;682792
Brachionus urceolaris;Rotifera;Monogononta;Ploima;Brachionidae;BOLD,FE;20;36;6;FE;;31553
Brachionus variabilis;Rotifera;Monogononta;Ploima;Brachionidae;BOLD,FE;14;14;3;;;400829
Epiphanes senta;Rotifera;Monogononta;Ploima;Brachionidae;BOLD,FE;6;30;2;FE;;670994
Kellicottia bostoniensis;Rotifera;Monogononta;Ploima;Brachionidae;FE;6;7;1;FE;;396081
Kellicottia longispina;Rotifera;Monogononta;Ploima;Brachionidae;FE;4;5;2;FE;;990697
Keratella cochlearis;Rotifera;Monogononta;Ploima;Brachionidae;BOLD,FE;304;332;18;FE;;31550
Keratella cruciformis;Rotifera;Monogononta;Ploima;Brachionidae;FE,WORMS;;;;WORMS;gap;
Keratella mixta;Rotifera;Monogononta;Ploima;Brachionidae;FE;;;;FE;gap;
Keratella paludosa;Rotifera;Monogononta;Ploima;Brachionidae;FE;;;;FE;gap;
Keratella quadrata;Rotifera;Monogononta;Ploima;Brachionidae;BOLD,FE;11;14;1;FE;;31552
Keratella serrulata;Rotifera;Monogononta;Ploima;Brachionidae;BOLD,FE;1;1;0;FE;;1001596
Keratella tropica;Rotifera;Monogononta;Ploima;Brachionidae;BOLD,FE;55;90;7;WORMS;;271796
Keratella valga;Rotifera;Monogononta;Ploima;Brachionidae;FE;1;3;1;FE;;515919
Notholca acuminata;Rotifera;Monogononta;Ploima;Brachionidae;FE;2;2;1;FE;;371585
Notholca bipalium;Rotifera;Monogononta;Ploima;Brachionidae;FE;;;;FE;gap;
Notholca caudata;Rotifera;Monogononta;Ploima;Brachionidae;FE;;;;;gap;
Notholca cinetura;Rotifera;Monogononta;Ploima;Brachionidae;FE;;;;FE;gap;
Notholca cornuta;Rotifera;Monogononta;Ploima;Brachionidae;FE;;;;;gap;
Notholca foliacea;Rotifera;Monogononta;Ploima;Brachionidae;FE;;;;WORMS;gap;
Notholca japonica;Rotifera;Monogononta;Ploima;Brachionidae;FE;;;;WORMS;gap;
Notholca labis;Rotifera;Monogononta;Ploima;Brachionidae;FE;;;;FE;gap;
Notholca liepetterseni;Rotifera;Monogononta;Ploima;Brachionidae;FE;;;;;gap;
Notholca marina;Rotifera;Monogononta;Ploima;Brachionidae;FE;;;;FE;gap;
Notholca psammarina;Rotifera;Monogononta;Ploima;Brachionidae;FE,WORMS;;;;;gap;
Notholca salina;Rotifera;Monogononta;Ploima;Brachionidae;FE;;;;FE;gap;
Notholca squamula;Rotifera;Monogononta;Ploima;Brachionidae;FE;;;;FE;gap;
Notholca striata;Rotifera;Monogononta;Ploima;Brachionidae;FE,WORMS;;;;FE;gap;
Notholca triarthroides;Rotifera;Monogononta;Ploima;Brachionidae;FE;;;;;gap;
Notholca verae;Rotifera;Monogononta;Ploima;Brachionidae;FE;;;;FE;gap;
Plationus patulus;Rotifera;Monogononta;Ploima;Brachionidae;FE;16;28;5;FE;;284154
Plationus polyacanthus;Rotifera;Monogononta;Ploima;Brachionidae;FE;;;;FE;gap;
Platyias quadricornis;Rotifera;Monogononta;Ploima;Brachionidae;FE;14;36;3;FE;;284127
Rotifera;Rotifera;Monogononta;Ploima;Brachionidae;FE;12356;16884;1118;WORMS;;16
