species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Lecane aculeata;Rotifera;Monogononta;Ploima;Lecanidae;FE;;;;FE;gap;
Lecane acus;Rotifera;Monogononta;Ploima;Lecanidae;FE;;;;FE;gap;
Lecane affinis;Rotifera;Monogononta;Ploima;Lecanidae;FE;;;;FE;gap;
Lecane agilis;Rotifera;Monogononta;Ploima;Lecanidae;FE;;;;FE;gap;
Lecane althausi;Rotifera;Monogononta;Ploima;Lecanidae;FE;;;;;gap;
Lecane arcuata;Rotifera;Monogononta;Ploima;Lecanidae;FE;;;;FE;gap;
Lecane arcula;Rotifera;Monogononta;Ploima;Lecanidae;FE;;;;FE;gap;
Lecane aspasia;Rotifera;Monogononta;Ploima;Lecanidae;FE;;;;;gap;
Lecane balatonica;Rotifera;Monogononta;Ploima;Lecanidae;FE;;;;;gap;
Lecane bifurca;Rotifera;Monogononta;Ploima;Lecanidae;FE;;;;FE;gap;
Lecane branchicola;Rotifera;Monogononta;Ploima;Lecanidae;FE;;;;FE;gap;
Lecane bryophila;Rotifera;Monogononta;Ploima;Lecanidae;FE;;;;;gap;
Lecane bulla;Rotifera;Monogononta;Ploima;Lecanidae;BOLD,FE;61;167;14;FE;;281617
Lecane carpatica;Rotifera;Monogononta;Ploima;Lecanidae;FE;;;;;gap;
Lecane clara;Rotifera;Monogononta;Ploima;Lecanidae;FE;;;;FE;gap;
Lecane closterocerca;Rotifera;Monogononta;Ploima;Lecanidae;BOLD,FE;8;14;2;FE;;284145
Lecane copeis;Rotifera;Monogononta;Ploima;Lecanidae;FE;;;;FE;gap;
Lecane cornuta;Rotifera;Monogononta;Ploima;Lecanidae;FE;10;36;2;FE;;284129
Lecane crenata;Rotifera;Monogononta;Ploima;Lecanidae;FE;;;;FE;gap;
Lecane crepida;Rotifera;Monogononta;Ploima;Lecanidae;FE;5;7;1;;;284185
Lecane curvicornis;Rotifera;Monogononta;Ploima;Lecanidae;FE;1;8;1;FE;;271799
