species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Notocelis subsalina;Xenacoelomorpha;;Acoela;Dakuidae;WORMS;;;;WORMS;gap;
Philactinoposthia adenogonaria;Xenacoelomorpha;;Acoela;Dakuidae;WORMS;;;;;gap;
Philactinoposthia diploposthia;Xenacoelomorpha;;Acoela;Dakuidae;WORMS;;;;;gap;
Philactinoposthia helgolandica;Xenacoelomorpha;;Acoela;Dakuidae;WORMS;;;;;gap;
Philactinoposthia pusilla;Xenacoelomorpha;;Acoela;Dakuidae;WORMS;;;;WORMS;gap;
Philactinoposthia rhammifera;Xenacoelomorpha;;Acoela;Dakuidae;WORMS;;;;WORMS;gap;
Philactinoposthia stylifera;Xenacoelomorpha;;Acoela;Dakuidae;WORMS;;;;WORMS;gap;
Philactinoposthia viridis;Xenacoelomorpha;;Acoela;Dakuidae;WORMS;;;;;gap;
Philactinoposthia viridorhabditis;Xenacoelomorpha;;Acoela;Dakuidae;WORMS;;;;;gap;
Philocelis cellata;Xenacoelomorpha;;Acoela;Dakuidae;WORMS;;;;;gap;
Philocelis karlingi;Xenacoelomorpha;;Acoela;Dakuidae;WORMS;;;;WORMS;gap;
